byte,input,output,counter_before,lfsr_before,positions_before,step_mask,center_mask,center_input,center_output,counter_after,lfsr_after,positions_after
200,3a,89,00000000000000c8,2e1677c3bbf3866c,9d227619,0a,ce,e1,2f,00000000000000c9,170b3be1ddf9c336,9d23761a
201,63,68,00000000000000c9,170b3be1ddf9c336,9d23761a,07,55,da,8f,00000000000000ca,0b859df0eefce19b,9e24771a
202,a8,dc,00000000000000ca,0b859df0eefce19b,9e24771a,03,71,af,de,00000000000000cb,ddc2cef8777e70cd,9f25771a
203,d1,74,00000000000000cb,ddc2cef8777e70cd,9f25771a,0a,3b,47,7c,00000000000000cc,b6e1677c3bbf3866,9f26771b
204,1f,47,00000000000000cc,b6e1677c3bbf3866,9f26771b,00,e9,95,7c,00000000000000cd,5b70b3be1ddf9c33,9f26771b
205,46,df,00000000000000cd,5b70b3be1ddf9c33,9f26771b,0a,f2,5f,ad,00000000000000ce,f5b859df0eefce19,9f27771c
206,8d,41,00000000000000ce,f5b859df0eefce19,9f27771c,04,50,ee,be,00000000000000cf,a2dc2cef8777e70c,9f27781c
207,34,8b,00000000000000cf,a2dc2cef8777e70c,9f27781c,00,aa,90,3a,00000000000000d0,516e1677c3bbf386,9f27781c
208,64,8d,00000000000000d0,516e1677c3bbf386,9f27781c,05,9b,f7,6c,00000000000000d1,28b70b3be1ddf9c3,a027791c
209,ad,b5,00000000000000d1,28b70b3be1ddf9c3,a027791c,00,66,85,e3,00000000000000d2,cc5b859df0eefce1,a027791c
210,d6,9b,00000000000000d2,cc5b859df0eefce1,a027791c,0f,57,74,23,00000000000000d3,be2dc2cef8777e70,a1287a1d
211,1f,66,00000000000000d3,be2dc2cef8777e70,a1287a1d,02,90,7f,ef,00000000000000d4,5f16e1677c3bbf38,a1297a1d
212,41,4a,00000000000000d4,5f16e1677c3bbf38,a1297a1d,02,7a,93,e9,00000000000000d5,2f8b70b3be1ddf9c,a12a7a1d
213,88,e5,00000000000000d5,2f8b70b3be1ddf9c,a12a7a1d,0e,a7,14,b3,00000000000000d6,17c5b859df0eefce,a12b7b1e
214,33,f2,00000000000000d6,17c5b859df0eefce,a12b7b1e,0c,26,30,16,00000000000000d7,0be2dc2cef8777e7,a12b7c1f
215,7a,ea,00000000000000d7,0be2dc2cef8777e7,a12b7c1f,00,0f,72,7d,00000000000000d8,ddf16e1677c3bbf3,a12b7c1f
216,ae,4f,00000000000000d8,ddf16e1677c3bbf3,a12b7c1f,04,ab,bd,16,00000000000000d9,b6f8b70b3be1ddf9,a12b7d1f
217,d7,75,00000000000000d9,b6f8b70b3be1ddf9,a12b7d1f,08,18,58,40,00000000000000da,837c5b859df0eefc,a12b7d20
218,1c,83,00000000000000da,837c5b859df0eefc,a12b7d20,01,90,b5,25,00000000000000db,41be2dc2cef8777e,a22b7d20
219,45,27,00000000000000db,41be2dc2cef8777e,a22b7d20,06,1c,a1,bd,00000000000000dc,20df16e1677c3bbf,a22c7e20
220,8b,71,00000000000000dc,20df16e1677c3bbf,a22c7e20,04,d8,fc,24,00000000000000dd,c86f8b70b3be1ddf,a22c7f20
221,32,4d,00000000000000dd,c86f8b70b3be1ddf,a22c7f20,00,2b,56,7d,00000000000000de,bc37c5b859df0eef,a22c7f20
222,79,3d,00000000000000de,bc37c5b859df0eef,a22c7f20,0d,73,04,77,00000000000000df,861be2dc2cef8777,a32c8021
223,a0,be,00000000000000df,861be2dc2cef8777,a32c8021,0f,8e,4a,c4,00000000000000e0,9b0df16e1677c3bb,a42d8122
224,d8,05,00000000000000e0,9b0df16e1677c3bb,a42d8122,06,4c,7b,37,00000000000000e1,9586f8b70b3be1dd,a42e8222
225,11,05,00000000000000e1,9586f8b70b3be1dd,a42e8222,00,9a,86,1c,00000000000000e2,92c37c5b859df0ee,a42e8222
226,4a,46,00000000000000e2,92c37c5b859df0ee,a42e8222,0a,69,e7,8e,00000000000000e3,4961be2dc2cef877,a42f8223
227,83,b3,00000000000000e3,4961be2dc2cef877,a42f8223,00,41,29,68,00000000000000e4,fcb0df16e1677c3b,a42f8223
228,3d,94,00000000000000e4,fcb0df16e1677c3b,a42f8223,0c,ca,18,d2,00000000000000e5,a6586f8b70b3be1d,a42f8324
229,74,bd,00000000000000e5,a6586f8b70b3be1d,a42f8324,08,d2,53,81,00000000000000e6,8b2c37c5b859df0e,a42f8325
230,af,e2,00000000000000e6,8b2c37c5b859df0e,a42f8325,0c,e8,0e,e6,00000000000000e7,45961be2dc2cef87,a42f8426
231,e6,29,00000000000000e7,45961be2dc2cef87,a42f8426,0d,a3,87,24,00000000000000e8,facb0df16e1677c3,a52f8527
232,12,90,00000000000000e8,facb0df16e1677c3,a52f8527,04,68,a7,cf,00000000000000e9,a56586f8b70b3be1,a52f8627
233,4b,36,00000000000000e9,a56586f8b70b3be1,a52f8627,07,0e,55,5b,00000000000000ea,8ab2c37c5b859df0,a6308727
234,80,ce,00000000000000ea,8ab2c37c5b859df0,a6308727,0a,03,42,41,00000000000000eb,455961be2dc2cef8,a6318728
235,39,d8,00000000000000eb,455961be2dc2cef8,a6318728,08,47,72,35,00000000000000ec,22acb0df16e1677c,a6318729
236,77,a5,00000000000000ec,22acb0df16e1677c,a6318729,0e,08,75,7d,00000000000000ed,1156586f8b70b3be,a632882a
237,ae,26,00000000000000ed,1156586f8b70b3be,a632882a,02,e3,df,3c,00000000000000ee,08ab2c37c5b859df,a633882a
238,e5,0b,00000000000000ee,08ab2c37c5b859df,a633882a,03,15,20,35,00000000000000ef,dc55961be2dc2cef,a734882a
239,1c,f4,00000000000000ef,dc55961be2dc2cef,a734882a,07,48,7c,34,00000000000000f0,b62acb0df16e1677,a835892a
240,4c,7b,00000000000000f0,b62acb0df16e1677,a835892a,0b,89,16,9f,00000000000000f1,83156586f8b70b3b,a936892b
241,85,42,00000000000000f1,83156586f8b70b3b,a936892b,0d,59,41,18,00000000000000f2,998ab2c37c5b859d,aa368a2c
242,3e,18,00000000000000f2,998ab2c37c5b859d,aa368a2c,07,83,b4,37,00000000000000f3,94c55961be2dc2ce,ab378b2c
243,77,44,00000000000000f3,94c55961be2dc2ce,ab378b2c,02,35,05,30,00000000000000f4,4a62acb0df16e167,ab388b2c
244,a9,dc,00000000000000f4,4a62acb0df16e167,ab388b2c,0f,e1,e5,04,00000000000000f5,fd3156586f8b70b3,ac398c2d
245,e0,9d,00000000000000f5,fd3156586f8b70b3,ac398c2d,05,44,19,5d,00000000000000f6,a698ab2c37c5b859,ad398d2d
246,1b,b8,00000000000000f6,a698ab2c37c5b859,ad398d2d,05,fc,f3,0f,00000000000000f7,8b4c55961be2dc2c,ae398e2d
247,52,c0,00000000000000f7,8b4c55961be2dc2c,ae398e2d,04,78,8d,f5,00000000000000f8,45a62acb0df16e16,ae398f2d
248,86,ce,00000000000000f8,45a62acb0df16e16,ae398f2d,00,b1,69,d8,00000000000000f9,22d3156586f8b70b,ae398f2d
249,3f,c7,00000000000000f9,22d3156586f8b70b,ae398f2d,0d,e8,a1,49,00000000000000fa,c9698ab2c37c5b85,af39902e
250,74,67,00000000000000fa,c9698ab2c37c5b85,af39902e,09,1d,76,6b,00000000000000fb,bcb4c55961be2dc2,b039902f
251,ad,f0,00000000000000fb,bcb4c55961be2dc2,b039902f,06,7c,36,4a,00000000000000fc,5e5a62acb0df16e1,b03a912f
252,e3,b6,00000000000000fc,5e5a62acb0df16e1,b03a912f,03,30,a3,93,00000000000000fd,f72d3156586f8b70,b13b912f
253,1a,89,00000000000000fd,f72d3156586f8b70,b13b912f,08,8b,c6,4d,00000000000000fe,7b9698ab2c37c5b8,b13b9130
254,51,f8,00000000000000fe,7b9698ab2c37c5b8,b13b9130,0b,76,98,ee,00000000000000ff,3dcb4c55961be2dc,b23c9131
255,88,34,00000000000000ff,3dcb4c55961be2dc,b23c9131,08,96,ca,5c,0000000000000100,1ee5a62acb0df16e,b23c9132
256,40,f4,0000000000000100,1ee5a62acb0df16e,b23c9132,07,bb,71,ca,0000000000000101,0f72d3156586f8b7,b33d9232
257,09,1a,0000000000000101,0f72d3156586f8b7,b33d9232,07,56,f4,a2,0000000000000102,dfb9698ab2c37c5b,b43e9332
258,d2,79,0000000000000102,dfb9698ab2c37c5b,b43e9332,06,50,fb,ab,0000000000000103,b7dcb4c55961be2d,b43f9432
259,9b,eb,0000000000000103,b7dcb4c55961be2d,b43f9432,05,2b,3f,14,0000000000000104,83ee5a62acb0df16,b53f9532
260,65,d3,0000000000000104,83ee5a62acb0df16,b53f9532,05,3d,d9,e4,0000000000000105,41f72d3156586f8b,b63f9632
261,2c,64,0000000000000105,41f72d3156586f8b,b63f9632,0d,9c,00,9c,0000000000000106,f8fb9698ab2c37c5,b73f9733
262,f7,8e,0000000000000106,f8fb9698ab2c37c5,b73f9733,0b,99,b1,28,0000000000000107,a47dcb4c55961be2,b8409734
263,be,dc,0000000000000107,a47dcb4c55961be2,b8409734,0a,8d,dd,50,0000000000000108,523ee5a62acb0df1,b8419735
264,0a,78,0000000000000108,523ee5a62acb0df1,b8419735,08,06,c5,c3,0000000000000109,f11f72d3156586f8,b8419736
265,d3,bc,0000000000000109,f11f72d3156586f8,b8419736,0f,5a,b2,e8,000000000000010a,788fb9698ab2c37c,b9429837
266,98,be,000000000000010a,788fb9698ab2c37c,b9429837,0d,ea,42,a8,000000000000010b,3c47dcb4c55961be,ba429938
267,61,5a,000000000000010b,3c47dcb4c55961be,ba429938,05,77,48,3f,000000000000010c,1e23ee5a62acb0df,bb429a38
268,2f,29,000000000000010c,1e23ee5a62acb0df,bb429a38,09,c7,09,ce,000000000000010d,d711f72d3156586f,bc429a39
269,f6,0a,000000000000010d,d711f72d3156586f,bc429a39,0d,73,90,e3,000000000000010e,b388fb9698ab2c37,bd429b3a
270,bd,93,000000000000010e,b388fb9698ab2c37,bd429b3a,0f,4d,01,4c,000000000000010f,81c47dcb4c55961b,be439c3b
271,04,1f,000000000000010f,81c47dcb4c55961b,be439c3b,0d,81,6a,eb,0000000000000110,98e23ee5a62acb0d,bf439d3c
272,d4,5e,0000000000000110,98e23ee5a62acb0d,bf439d3c,0e,e2,31,d3,0000000000000111,94711f72d3156586,bf449e3d
273,9d,b6,0000000000000111,94711f72d3156586,bf449e3d,03,52,4b,19,0000000000000112,4a388fb9698ab2c3,c0459e3d
274,66,64,0000000000000112,4a388fb9698ab2c3,c0459e3d,08,e9,b9,50,0000000000000113,fd1c47dcb4c55961,c0459e3e
275,2f,4d,0000000000000113,fd1c47dcb4c55961,c0459e3e,01,56,4f,19,0000000000000114,a68e23ee5a62acb0,c1459e3e
276,f1,0f,0000000000000114,a68e23ee5a62acb0,c1459e3e,0b,07,16,11,0000000000000115,534711f72d315658,c2469e3f
277,b8,8d,0000000000000115,534711f72d315658,c2469e3f,0f,7d,dd,a0,0000000000000116,29a388fb9698ab2c,c3479f40
278,03,8d,0000000000000116,29a388fb9698ab2c,c3479f40,04,0c,c7,cb,0000000000000117,14d1c47dcb4c5596,c347a040
279,ca,aa,0000000000000117,14d1c47dcb4c5596,c347a040,01,3a,84,be,0000000000000118,0a68e23ee5a62acb,c447a040
280,9e,5c,0000000000000118,0a68e23ee5a62acb,c447a040,06,da,34,ee,0000000000000119,dd34711f72d31565,c448a140
281,67,7b,0000000000000119,dd34711f72d31565,c448a140,0e,0c,75,79,000000000000011a,b69a388fb9698ab2,c449a241
282,2c,fb,000000000000011a,b69a388fb9698ab2,c449a241,0c,81,b9,38,000000000000011b,5b4d1c47dcb4c559,c449a342
283,f5,be,000000000000011b,5b4d1c47dcb4c559,c449a342,05,27,f2,d5,000000000000011c,f5a68e23ee5a62ac,c549a442
284,bb,52,000000000000011c,f5a68e23ee5a62ac,c549a442,0c,48,21,69,000000000000011d,7ad34711f72d3156,c549a543
285,02,40,000000000000011d,7ad34711f72d3156,c549a543,06,dd,3c,e1,000000000000011e,3d69a388fb9698ab,c54aa643
286,c9,51,000000000000011e,3d69a388fb9698ab,c54aa643,05,90,14,84,000000000000011f,c6b4d1c47dcb4c55,c64aa743
287,90,07,000000000000011f,c6b4d1c47dcb4c55,c64aa743,08,9f,33,ac,0000000000000120,bb5a68e23ee5a62a,c64aa744
288,68,a9,0000000000000120,bb5a68e23ee5a62a,c64aa744,01,80,35,b5,0000000000000121,5dad34711f72d315,c74aa744
289,21,f0,0000000000000121,5dad34711f72d315,c74aa744,09,52,c1,93,0000000000000122,f6d69a388fb9698a,c84aa745
290,fa,cd,0000000000000122,f6d69a388fb9698a,c84aa745,0a,ea,ec,06,0000000000000123,7b6b4d1c47dcb4c5,c84ba746
291,b3,db,0000000000000123,7b6b4d1c47dcb4c5,c84ba746,0c,c5,d8,1d,0000000000000124,e5b5a68e23ee5a62,c84ba847
292,0d,a8,0000000000000124,e5b5a68e23ee5a62,c84ba847,03,f1,b0,41,0000000000000125,72dad34711f72d31,c94ca847
293,c4,79,0000000000000125,72dad34711f72d31,c94ca847,0d,f7,00,f7,0000000000000126,e16d69a388fb9698,ca4ca948
294,9f,45,0000000000000126,e16d69a388fb9698,ca4ca948,09,f7,79,8e,0000000000000127,70b6b4d1c47dcb4c,cb4ca949
295,56,42,0000000000000127,70b6b4d1c47dcb4c,cb4ca949,09,71,e7,96,0000000000000128,385b5a68e23ee5a6,cc4ca94a
296,22,46,0000000000000128,385b5a68e23ee5a6,cc4ca94a,0a,34,13,27,0000000000000129,1c2dad34711f72d3,cc4da94b
297,fb,4c,0000000000000129,1c2dad34711f72d3,cc4da94b,01,82,6e,ec,000000000000012a,d616d69a388fb969,cd4da94b
298,b0,5d,000000000000012a,d616d69a388fb969,cd4da94b,0c,1e,1d,03,000000000000012b,b30b6b4d1c47dcb4,cd4daa4c
299,09,cd,000000000000012b,b30b6b4d1c47dcb4,cd4daa4c,09,66,87,e1,000000000000012c,5985b5a68e23ee5a,ce4daa4d
300,c7,a3,000000000000012c,5985b5a68e23ee5a,ce4daa4d,0f,16,b5,a3,000000000000012d,2cc2dad34711f72d,cf4eab4e
301,9e,ea,000000000000012d,2cc2dad34711f72d,cf4eab4e,0d,aa,9d,37,000000000000012e,ce616d69a388fb96,d04eac4f
302,55,d3,000000000000012e,ce616d69a388fb96,d04eac4f,06,b5,bb,0e,000000000000012f,6730b6b4d1c47dcb,d04fad4f
303,2c,fd,000000000000012f,6730b6b4d1c47dcb,d04fad4f,00,83,48,cb,0000000000000130,eb985b5a68e23ee5,d04fad4f
304,fc,45,0000000000000130,eb985b5a68e23ee5,d04fad4f,0e,fe,0d,f3,0000000000000131,adcc2dad34711f72,d050ae50
305,b5,0f,0000000000000131,adcc2dad34711f72,d050ae50,0c,35,46,73,0000000000000132,56e616d69a388fb9,d050af51
306,0e,a5,0000000000000132,56e616d69a388fb9,d050af51,0d,d2,df,0d,0000000000000133,f3730b6b4d1c47dc,d150b052
307,c7,30,0000000000000133,f3730b6b4d1c47dc,d150b052,0d,5a,df,85,0000000000000134,79b985b5a68e23ee,d250b153
308,99,26,0000000000000134,79b985b5a68e23ee,d250b153,0e,a0,85,25,0000000000000135,3cdcc2dad34711f7,d251b254
309,50,11,0000000000000135,3cdcc2dad34711f7,d251b254,04,99,af,36,0000000000000136,c66e616d69a388fb,d251b354
310,2b,b4,0000000000000136,c66e616d69a388fb,d251b354,04,65,53,36,0000000000000137,bb3730b6b4d1c47d,d251b454
311,e2,2d,0000000000000137,bb3730b6b4d1c47d,d251b454,0b,ed,fd,10,0000000000000138,859b985b5a68e23e,d352b455
312,b6,a5,0000000000000138,859b985b5a68e23e,d352b455,0a,4d,ff,b2,0000000000000139,42cdcc2dad34711f,d353b456
313,0f,21,0000000000000139,42cdcc2dad34711f,d353b456,05,28,90,b8,000000000000013a,f966e616d69a388f,d453b556
314,c4,ec,000000000000013a,f966e616d69a388f,d453b556,09,8f,c9,46,000000000000013b,a4b3730b6b4d1c47,d553b557
315,9d,89,000000000000013b,a4b3730b6b4d1c47,d553b557,06,d1,96,47,000000000000013c,8a59b985b5a68e23,d554b657
316,53,4e,000000000000013c,8a59b985b5a68e23,d554b657,0b,e0,b6,56,000000000000013d,9d2cdcc2dad34711,d655b658
317,2a,b5,000000000000013d,9d2cdcc2dad34711,d655b658,06,70,47,37,000000000000013e,96966e616d69a388,d656b758
318,e1,61,000000000000013e,96966e616d69a388,d656b758,0a,8b,33,b8,000000000000013f,4b4b3730b6b4d1c4,d657b759
319,b8,d5,000000000000013f,4b4b3730b6b4d1c4,d657b759,0e,f6,18,ee,0000000000000140,25a59b985b5a68e2,d658b85a
320,10,92,0000000000000140,25a59b985b5a68e2,d658b85a,0a,49,1d,54,0000000000000141,12d2cdcc2dad3471,d659b85b
321,d9,1e,0000000000000141,12d2cdcc2dad3471,d659b85b,03,04,47,43,0000000000000142,d16966e616d69a38,d75ab85b
322,82,76,0000000000000142,d16966e616d69a38,d75ab85b,0a,9a,8e,14,0000000000000143,68b4b3730b6b4d1c,d75bb85c
323,4b,56,0000000000000143,68b4b3730b6b4d1c,d75bb85c,07,71,1a,6b,0000000000000144,345a59b985b5a68e,d85cb95c
324,35,da,0000000000000144,345a59b985b5a68e,d85cb95c,0d,54,59,0d,0000000000000145,1a2d2cdcc2dad347,d95cba5d
325,fc,79,0000000000000145,1a2d2cdcc2dad347,d95cba5d,0f,7e,24,5a,0000000000000146,d516966e616d69a3,da5dbb5e
326,a7,f0,0000000000000146,d516966e616d69a3,da5dbb5e,08,4b,1e,55,0000000000000147,b28b4b3730b6b4d1,da5dbb5f
327,6e,95,0000000000000147,b28b4b3730b6b4d1,da5dbb5f,06,a5,51,f4,0000000000000148,8145a59b985b5a68,da5ebc5f
328,da,3b,0000000000000148,8145a59b985b5a68,da5ebc5f,0d,6a,ab,c1,0000000000000149,40a2d2cdcc2dad34,db5ebd60
329,83,7f,0000000000000149,40a2d2cdcc2dad34,db5ebd60,01,58,20,78,000000000000014a,20516966e616d69a,dc5ebd60
330,48,27,000000000000014a,20516966e616d69a,dc5ebd60,01,bb,28,93,000000000000014b,1028b4b3730b6b4d,dd5ebd60
331,31,b1,000000000000014b,1028b4b3730b6b4d,dd5ebd60,0a,73,10,63,000000000000014c,d0145a59b985b5a6,dd5fbd61
332,ff,66,000000000000014c,d0145a59b985b5a6,dd5fbd61,0f,3c,54,68,000000000000014d,680a2d2cdcc2dad3,de60be62
333,a6,b5,000000000000014d,680a2d2cdcc2dad3,de60be62,01,aa,72,d8,000000000000014e,ec0516966e616d69,df60be62
334,6d,5f,000000000000014e,ec0516966e616d69,df60be62,02,16,2d,3b,000000000000014f,ae028b4b3730b6b4,df61be62
335,d4,18,000000000000014f,ae028b4b3730b6b4,df61be62,07,c6,76,b0,0000000000000150,570145a59b985b5a,e062bf62
336,84,cf,0000000000000150,570145a59b985b5a,e062bf62,05,19,82,9b,0000000000000151,2b80a2d2cdcc2dad,e162c062
337,4d,db,0000000000000151,2b80a2d2cdcc2dad,e162c062,0e,63,45,26,0000000000000152,cdc0516966e616d6,e163c163
338,36,3e,0000000000000152,cdc0516966e616d6,e163c163,02,1c,67,7b,0000000000000153,66e028b4b3730b6b,e164c163
339,ff,0d,0000000000000153,66e028b4b3730b6b,e164c163,04,99,25,bc,0000000000000154,eb70145a59b985b5,e164c263
340,a1,c0,0000000000000154,eb70145a59b985b5,e164c263,03,8b,9b,10,0000000000000155,adb80a2d2cdcc2da,e265c263
341,68,e3,0000000000000155,adb80a2d2cdcc2da,e265c263,05,a2,d1,73,0000000000000156,56dc0516966e616d,e365c363
342,d3,76,0000000000000156,56dc0516966e616d,e365c363,05,60,46,26,0000000000000157,f36e028b4b3730b6,e465c463
343,9a,23,0000000000000157,f36e028b4b3730b6,e465c463,05,42,81,c3,0000000000000158,79b70145a59b985b,e565c563
344,4e,7a,0000000000000158,79b70145a59b985b,e565c563,03,69,06,6f,0000000000000159,e4db80a2d2cdcc2d,e666c563
345,37,dd,0000000000000159,e4db80a2d2cdcc2d,e666c563,07,68,6d,05,000000000000015a,aa6dc0516966e616,e767c663
346,fc,92,000000000000015a,aa6dc0516966e616,e767c663,04,41,70,31,000000000000015b,5536e028b4b3730b,e767c763
347,a5,0e,000000000000015b,5536e028b4b3730b,e767c763,0b,35,42,77,000000000000015c,f29b70145a59b985,e868c764
348,6b,95,000000000000015c,f29b70145a59b985,e868c764,07,93,76,e5,000000000000015d,a14db80a2d2cdcc2,e969c864
349,d2,bd,000000000000015d,a14db80a2d2cdcc2,e969c864,0f,1c,a6,ba,000000000000015e,50a6dc0516966e61,ea6ac965
350,99,42,000000000000015e,50a6dc0516966e61,ea6ac965,09,47,84,c3,000000000000015f,f0536e028b4b3730,eb6ac966
351,40,47,000000000000015f,f0536e028b4b3730,eb6ac966,05,24,4a,6e,0000000000000160,7829b70145a59b98,ec6aca66
352,38,ab,0000000000000160,7829b70145a59b98,ec6aca66,0b,84,a6,22,0000000000000161,3c14db80a2d2cdcc,ed6bca67
353,f1,b7,0000000000000161,3c14db80a2d2cdcc,ed6bca67,05,bf,5b,e4,0000000000000162,1e0a6dc0516966e6,ee6bcb67
354,aa,b0,0000000000000162,1e0a6dc0516966e6,ee6bcb67,09,36,65,53,0000000000000163,0f0536e028b4b373,ef6bcb68
355,63,96,0000000000000163,0f0536e028b4b373,ef6bcb68,05,99,0c,95,0000000000000164,df829b70145a59b9,f06bcc68
356,dd,ca,0000000000000164,df829b70145a59b9,f06bcc68,0b,b3,17,a4,0000000000000165,b7c14db80a2d2cdc,f16ccc69
357,94,a7,0000000000000165,b7c14db80a2d2cdc,f16ccc69,02,04,83,87,0000000000000166,5be0a6dc0516966e,f16dcc69
358,4f,c5,0000000000000166,5be0a6dc0516966e,f16dcc69,07,74,f3,87,0000000000000167,2df0536e028b4b37,f26ecd69
359,06,ef,0000000000000167,2df0536e028b4b37,f26ecd69,05,83,5a,d9,0000000000000168,cef829b70145a59b,f36ece69
360,f2,bb,0000000000000168,cef829b70145a59b,f36ece69,0f,2a,e6,cc,0000000000000169,bf7c14db80a2d2cd,f46fcf6a
361,ab,0f,0000000000000169,bf7c14db80a2d2cd,f46fcf6a,01,d4,74,a0,000000000000016a,87be0a6dc0516966,f56fcf6a
362,60,69,000000000000016a,87be0a6dc0516966,f56fcf6a,0d,2b,cb,e0,000000000000016b,43df0536e028b4b3,f66fd06b
363,d9,10,000000000000016b,43df0536e028b4b3,f66fd06b,0d,0e,2a,24,000000000000016c,f9ef829b70145a59,f76fd16c
364,97,c0,000000000000016c,f9ef829b70145a59,f76fd16c,0f,5d,e5,b8,000000000000016d,a4f7c14db80a2d2c,f870d26d
365,4e,37,000000000000016d,a4f7c14db80a2d2c,f870d26d,03,35,8b,be,000000000000016e,527be0a6dc051696,f971d26d
366,05,c5,000000000000016e,527be0a6dc051696,f971d26d,00,11,df,ce,000000000000016f,293df0536e028b4b,f971d26d
367,fc,57,000000000000016f,293df0536e028b4b,f971d26d,02,0d,5c,51,0000000000000170,cc9ef829b70145a5,f972d26d
368,ac,4d,0000000000000170,cc9ef829b70145a5,f972d26d,08,89,f9,70,0000000000000171,be4f7c14db80a2d2,f972d26e
369,65,aa,0000000000000171,be4f7c14db80a2d2,f972d26e,0e,9a,a7,3d,0000000000000172,5f27be0a6dc05169,f973d36f
370,de,b4,0000000000000172,5f27be0a6dc05169,f973d36f,0c,b8,45,fd,0000000000000173,f793df0536e028b4,f973d470
371,97,c3,0000000000000173,f793df0536e028b4,f973d470,0e,68,a9,c1,0000000000000174,7bc9ef829b70145a,f974d571
372,49,46,0000000000000174,7bc9ef829b70145a,f974d571,07,5a,1e,44,0000000000000175,3de4f7c14db80a2d,fa75d671
373,00,26,0000000000000175,3de4f7c14db80a2d,fa75d671,05,0e,ae,a0,0000000000000176,c6f27be0a6dc0516,fb75d771
374,fb,bc,0000000000000176,c6f27be0a6dc0516,fb75d771,0b,42,f0,b2,0000000000000177,63793df0536e028b,fc76d772
375,b2,f5,0000000000000177,63793df0536e028b,fc76d772,06,7c,7f,03,0000000000000178,e9bc9ef829b70145,fc77d872
376,66,7a,0000000000000178,e9bc9ef829b70145,fc77d872,0f,8a,36,bc,0000000000000179,acde4f7c14db80a2,fd78d973
377,df,9b,0000000000000179,acde4f7c14db80a2,fd78d973,07,4a,d0,9a,000000000000017a,566f27be0a6dc051,fe79da73
378,94,e4,000000000000017a,566f27be0a6dc051,fe79da73,0a,a7,b5,12,000000000000017b,f33793df0536e028,fe7ada74
379,4d,32,000000000000017b,f33793df0536e028,fe7ada74,02,6c,2c,40,000000000000017c,799bc9ef829b7014,fe7bda74
380,03,36,000000000000017c,799bc9ef829b7014,fe7bda74,07,45,be,fb,000000000000017d,3ccde4f7c14db80a,ff7cdb74
381,fa,e3,000000000000017d,3ccde4f7c14db80a,ff7cdb74,03,80,3d,bd,000000000000017e,1e66f27be0a6dc05,007ddb74
382,b1,28,000000000000017e,1e66f27be0a6dc05,007ddb74,0b,57,7f,28,000000000000017f,d733793df0536e02,017edb75
383,68,e4,000000000000017f,d733793df0536e02,017edb75,04,c2,61,a3,0000000000000180,6b99bc9ef829b701,017edc75
384,e0,a1,0000000000000180,6b99bc9ef829b701,017edc75,0d,2d,04,29,0000000000000181,edccde4f7c14db80,027edd76
385,a9,90,0000000000000181,edccde4f7c14db80,027edd76,00,4e,77,39,0000000000000182,76e66f27be0a6dc0,027edd76
386,72,df,0000000000000182,76e66f27be0a6dc0,027edd76,08,09,48,41,0000000000000183,3b733793df0536e0,027edd77
387,3b,a6,0000000000000183,3b733793df0536e0,027edd77,0c,68,38,50,0000000000000184,1db99bc9ef829b70,027ede78
388,c5,8c,0000000000000184,1db99bc9ef829b70,027ede78,04,e1,bc,5d,0000000000000185,0edccde4f7c14db8,027edf78
389,8c,1d,0000000000000185,0edccde4f7c14db8,027edf78,0a,47,90,d7,0000000000000186,076e66f27be0a6dc,027fdf79
390,57,cd,0000000000000186,076e66f27be0a6dc,027fdf79,02,29,4b,62,0000000000000187,03b733793df0536e,0280df79
391,1e,da,0000000000000187,03b733793df0536e,0280df79,07,4a,4c,06,0000000000000188,01db99bc9ef829b7,0381e079
392,aa,ac,0000000000000188,01db99bc9ef829b7,0381e079,04,89,fa,73,0000000000000189,d8edccde4f7c14db,0381e179
393,73,3f,0000000000000189,d8edccde4f7c14db,0381e179,00,b3,00,b3,000000000000018a,b476e66f27be0a6d,0381e179
394,38,91,000000000000018a,b476e66f27be0a6d,0381e179,03,ea,4f,a5,000000000000018b,823b733793df0536,0482e179
395,c1,64,000000000000018b,823b733793df0536,0482e179,0e,40,30,70,000000000000018c,411db99bc9ef829b,0483e27a
396,8f,db,000000000000018c,411db99bc9ef829b,0483e27a,06,06,d5,d3,000000000000018d,f88edccde4f7c14d,0484e37a
397,56,38,000000000000018d,f88edccde4f7c14d,0484e37a,00,99,5c,c5,000000000000018e,a4476e66f27be0a6,0484e37a
398,1d,6a,000000000000018e,a4476e66f27be0a6,0484e37a,0c,14,c6,d2,000000000000018f,5223b733793df053,0484e47b
399,a4,3d,000000000000018f,5223b733793df053,0484e47b,04,d9,9d,44,0000000000000190,f111db99bc9ef829,0484e57b
400,74,e6,0000000000000190,f111db99bc9ef829,0484e57b,0e,3e,e0,de,0000000000000191,a088edccde4f7c14,0485e67c
401,3d,2b,0000000000000191,a088edccde4f7c14,0485e67c,03,4e,af,e1,0000000000000192,504476e66f27be0a,0586e67c
402,c6,cc,0000000000000192,504476e66f27be0a,0586e67c,0d,93,4c,df,0000000000000193,28223b733793df05,0686e77d
403,8f,01,0000000000000193,28223b733793df05,0686e77d,07,c4,b7,73,0000000000000194,cc111db99bc9ef82,0787e87d
404,51,cf,0000000000000194,cc111db99bc9ef82,0787e87d,06,93,97,04,0000000000000195,66088edccde4f7c1,0788e97d
