byte,input,output,counter_before,lfsr_before,positions_before,step_mask,center_mask,center_input,center_output,counter_after,lfsr_after,positions_after
45,de,99,000000000000002d,99aa185d0a3fa4a2,5bcd20c8,04,6f,71,1e,000000000000002e,4cd50c2e851fd251,5bcd21c8
46,15,0f,000000000000002e,4cd50c2e851fd251,5bcd21c8,00,c8,09,c1,000000000000002f,fe6a8617428fe928,5bcd21c8
47,6c,01,000000000000002f,fe6a8617428fe928,5bcd21c8,07,12,52,40,0000000000000030,7f35430ba147f494,5cce22c8
48,bc,1e,0000000000000030,7f35430ba147f494,5cce22c8,0a,90,df,4f,0000000000000031,3f9aa185d0a3fa4a,5ccf22c9
49,f5,2b,0000000000000031,3f9aa185d0a3fa4a,5ccf22c9,0d,73,a2,d1,0000000000000032,1fcd50c2e851fd25,5dcf23ca
50,4e,97,0000000000000032,1fcd50c2e851fd25,5dcf23ca,0a,7a,a2,d8,0000000000000033,d7e6a8617428fe92,5dd023cb
51,87,a0,0000000000000033,d7e6a8617428fe92,5dd023cb,04,8f,00,8f,0000000000000034,6bf35430ba147f49,5dd024cb
52,d9,93,0000000000000034,6bf35430ba147f49,5dd024cb,0a,28,64,4c,0000000000000035,edf9aa185d0a3fa4,5dd124cc
53,10,c9,0000000000000035,edf9aa185d0a3fa4,5dd124cc,03,30,d1,e1,0000000000000036,76fcd50c2e851fd2,5ed224cc
54,6b,f8,0000000000000036,76fcd50c2e851fd2,5ed224cc,04,7e,04,7a,0000000000000037,3b7e6a8617428fe9,5ed225cc
55,a2,c9,0000000000000037,3b7e6a8617428fe9,5ed225cc,05,3b,67,5c,0000000000000038,c5bf35430ba147f4,5fd226cc
56,f6,15,0000000000000038,c5bf35430ba147f4,5fd226cc,03,ba,42,f8,0000000000000039,62df9aa185d0a3fa,60d326cc
57,4f,1d,0000000000000039,62df9aa185d0a3fa,60d326cc,01,e6,54,b2,000000000000003a,316fcd50c2e851fd,61d326cc
58,84,c1,000000000000003a,316fcd50c2e851fd,61d326cc,0e,6c,14,78,000000000000003b,c0b7e6a8617428fe,61d427cd
59,dd,f5,000000000000003b,c0b7e6a8617428fe,61d427cd,0d,ea,d0,3a,000000000000003c,605bf35430ba147f,62d428ce
60,13,37,000000000000003c,605bf35430ba147f,62d428ce,03,5b,88,d3,000000000000003d,e82df9aa185d0a3f,63d528ce
61,6a,9e,000000000000003d,e82df9aa185d0a3f,63d528ce,06,04,a4,a0,000000000000003e,ac16fcd50c2e851f,63d629ce
62,a1,04,000000000000003e,ac16fcd50c2e851f,63d629ce,0c,46,36,70,000000000000003f,8e0b7e6a8617428f,63d62acf
63,f8,46,000000000000003f,8e0b7e6a8617428f,63d62acf,0c,44,31,75,0000000000000040,9f05bf35430ba147,63d62bd0
64,50,f7,0000000000000040,9f05bf35430ba147,63d62bd0,06,2b,f4,df,0000000000000041,9782df9aa185d0a3,63d72cd0
65,99,e6,0000000000000041,9782df9aa185d0a3,63d72cd0,05,9f,0b,94,0000000000000042,93c16fcd50c2e851,64d72dd0
66,c2,78,0000000000000042,93c16fcd50c2e851,64d72dd0,0b,cf,9e,51,0000000000000043,91e0b7e6a8617428,65d82dd1
67,0b,dd,0000000000000043,91e0b7e6a8617428,65d82dd1,0b,99,6f,f6,0000000000000044,48f05bf35430ba14,66d92dd2
68,75,60,0000000000000044,48f05bf35430ba14,66d92dd2,0f,48,25,6d,0000000000000045,24782df9aa185d0a,67da2ed3
69,bc,65,0000000000000045,24782df9aa185d0a,67da2ed3,06,1f,77,68,0000000000000046,123c16fcd50c2e85,67db2fd3
70,e7,2d,0000000000000046,123c16fcd50c2e85,67db2fd3,01,4d,44,09,0000000000000047,d11e0b7e6a861742,68db2fd3
71,2e,d4,0000000000000047,d11e0b7e6a861742,68db2fd3,02,18,c4,dc,0000000000000048,688f05bf35430ba1,68dc2fd3
72,9a,3b,0000000000000048,688f05bf35430ba1,68dc2fd3,0d,54,88,dc,0000000000000049,ec4782df9aa185d0,69dc30d4
73,c3,41,0000000000000049,ec4782df9aa185d0,69dc30d4,02,90,3c,ac,000000000000004a,7623c16fcd50c2e8,69dd30d4
74,08,1c,000000000000004a,7623c16fcd50c2e8,69dd30d4,0c,97,79,ee,000000000000004b,3b11e0b7e6a86174,69dd31d5
75,71,50,000000000000004b,3b11e0b7e6a86174,69dd31d5,06,c0,66,a6,000000000000004c,1d88f05bf35430ba,69de32d5
76,bf,94,000000000000004c,1d88f05bf35430ba,69de32d5,04,ef,33,dc,000000000000004d,0ec4782df9aa185d,69de33d5
77,e6,b6,000000000000004d,0ec4782df9aa185d,69de33d5,0a,63,b9,da,000000000000004e,df623c16fcd50c2e,69df33d6
78,2d,25,000000000000004e,df623c16fcd50c2e,69df33d6,06,5c,b6,ea,000000000000004f,6fb11e0b7e6a8617,69e034d6
79,94,e7,000000000000004f,6fb11e0b7e6a8617,69e034d6,08,64,d3,b7,0000000000000050,efd88f05bf35430b,69e034d7
80,c4,a5,0000000000000050,efd88f05bf35430b,69e034d7,02,3f,97,a8,0000000000000051,afec4782df9aa185,69e134d7
81,0d,a3,0000000000000051,afec4782df9aa185,69e134d7,06,32,9c,ae,0000000000000052,8ff623c16fcd50c2,69e235d7
82,76,e5,0000000000000052,8ff623c16fcd50c2,69e235d7,0b,35,47,72,0000000000000053,47fb11e0b7e6a861,6ae335d8
83,bf,9e,0000000000000053,47fb11e0b7e6a861,6ae335d8,0a,74,17,63,0000000000000054,fbfd88f05bf35430,6ae435d9
84,e1,7d,0000000000000054,fbfd88f05bf35430,6ae435d9,00,32,f4,c6,0000000000000055,7dfec4782df9aa18,6ae435d9
85,28,4b,0000000000000055,7dfec4782df9aa18,6ae435d9,06,b8,5d,e5,0000000000000056,3eff623c16fcd50c,6ae536d9
86,93,71,0000000000000056,3eff623c16fcd50c,6ae536d9,05,8f,e0,6f,0000000000000057,1f7fb11e0b7e6a86,6be537d9
87,da,32,0000000000000057,1f7fb11e0b7e6a86,6be537d9,0a,7c,66,1a,0000000000000058,0fbfd88f05bf3543,6be637da
88,0e,af,0000000000000058,0fbfd88f05bf3543,6be637da,06,58,3a,62,0000000000000059,dfdfec4782df9aa1,6be738da
89,77,71,0000000000000059,dfdfec4782df9aa1,6be738da,0b,72,d1,a3,000000000000005a,b7eff623c16fcd50,6ce838db
90,bc,1c,000000000000005a,b7eff623c16fcd50,6ce838db,09,90,10,80,000000000000005b,5bf7fb11e0b7e6a8,6de838dc
91,e5,ff,000000000000005b,5bf7fb11e0b7e6a8,6de838dc,0d,75,f4,81,000000000000005c,2dfbfd88f05bf354,6ee839dd
92,2b,f1,000000000000005c,2dfbfd88f05bf354,6ee839dd,01,96,e5,73,000000000000005d,16fdfec4782df9aa,6fe839dd
93,92,2a,000000000000005d,16fdfec4782df9aa,6fe839dd,04,62,2b,49,000000000000005e,0b7eff623c16fcd5,6fe83add
94,d9,4b,000000000000005e,0b7eff623c16fcd5,6fe83add,07,7f,2b,54,000000000000005f,ddbf7fb11e0b7e6a,70e93bdd
95,00,07,000000000000005f,ddbf7fb11e0b7e6a,70e93bdd,0c,f5,d8,2d,0000000000000060,6edfbfd88f05bf35,70e93cde
96,78,34,0000000000000060,6edfbfd88f05bf35,70e93cde,0a,73,7c,0f,0000000000000061,ef6fdfec4782df9a,70ea3cdf
97,b1,49,0000000000000061,ef6fdfec4782df9a,70ea3cdf,06,0c,e8,e4,0000000000000062,77b7eff623c16fcd,70eb3ddf
98,ea,ef,0000000000000062,77b7eff623c16fcd,70eb3ddf,0a,82,1f,9d,0000000000000063,e3dbf7fb11e0b7e6,70ec3de0
99,23,37,0000000000000063,e3dbf7fb11e0b7e6,70ec3de0,0f,87,0e,89,0000000000000064,71edfbfd88f05bf3,71ed3ee1
100,9d,c5,0000000000000064,71edfbfd88f05bf3,71ed3ee1,03,20,74,54,0000000000000065,e0f6fdfec4782df9,72ee3ee1
101,d4,1b,0000000000000065,e0f6fdfec4782df9,72ee3ee1,08,f4,11,e5,0000000000000066,a87b7eff623c16fc,72ee3ee2
102,0f,44,0000000000000066,a87b7eff623c16fc,72ee3ee2,03,64,9b,ff,0000000000000067,543dbf7fb11e0b7e,73ef3ee2
103,46,cd,0000000000000067,543dbf7fb11e0b7e,73ef3ee2,05,5e,d9,87,0000000000000068,2a1edfbfd88f05bf,74ef3fe2
104,b2,8c,0000000000000068,2a1edfbfd88f05bf,74ef3fe2,0e,1f,ab,b4,0000000000000069,cd0f6fdfec4782df,74f040e3
105,eb,56,0000000000000069,cd0f6fdfec4782df,74f040e3,09,f8,71,89,000000000000006a,be87b7eff623c16f,75f040e4
106,20,6f,000000000000006a,be87b7eff623c16f,75f040e4,08,6f,3a,55,000000000000006b,8743dbf7fb11e0b7,75f040e5
107,99,2f,000000000000006b,8743dbf7fb11e0b7,75f040e5,0d,06,63,65,000000000000006c,9ba1edfbfd88f05b,76f041e6
108,d7,43,000000000000006c,9ba1edfbfd88f05b,76f041e6,09,79,e0,99,000000000000006d,95d0f6fdfec4782d,77f041e7
109,0e,bb,000000000000006d,95d0f6fdfec4782d,77f041e7,0e,27,83,a4,000000000000006e,92e87b7eff623c16,77f142e8
110,45,bc,000000000000006e,92e87b7eff623c16,77f142e8,05,9f,1d,82,000000000000006f,49743dbf7fb11e0b,78f143e8
111,bc,30,000000000000006f,49743dbf7fb11e0b,78f143e8,05,aa,5c,f6,0000000000000070,fcba1edfbfd88f05,79f144e8
112,ec,0a,0000000000000070,fcba1edfbfd88f05,79f144e8,0e,fa,e1,1b,0000000000000071,a65d0f6fdfec4782,79f245e9
113,25,5f,0000000000000071,a65d0f6fdfec4782,79f245e9,0c,5d,ad,f0,0000000000000072,532e87b7eff623c1,79f246ea
114,9e,76,0000000000000072,532e87b7eff623c1,79f246ea,0c,46,92,d4,0000000000000073,f19743dbf7fb11e0,79f247eb
115,d7,11,0000000000000073,f19743dbf7fb11e0,79f247eb,02,18,2b,33,0000000000000074,78cba1edfbfd88f0,79f347eb
116,09,8e,0000000000000074,78cba1edfbfd88f0,79f347eb,0e,15,a1,b4,0000000000000075,3c65d0f6fdfec478,79f448ec
117,40,1f,0000000000000075,3c65d0f6fdfec478,79f448ec,09,d7,07,d0,0000000000000076,1e32e87b7eff623c,7af448ed
118,bb,20,0000000000000076,1e32e87b7eff623c,7af448ed,01,80,66,e6,0000000000000077,0f19743dbf7fb11e,7bf448ed
119,f2,73,0000000000000077,0f19743dbf7fb11e,7bf448ed,0b,26,f4,d2,0000000000000078,078cba1edfbfd88f,7cf548ee
120,26,71,0000000000000078,078cba1edfbfd88f,7cf548ee,0a,f8,c9,31,0000000000000079,dbc65d0f6fdfec47,7cf648ef
121,9f,98,0000000000000079,dbc65d0f6fdfec47,7cf648ef,0e,6a,39,53,000000000000007a,b5e32e87b7eff623,7cf749f0
122,d4,fb,000000000000007a,b5e32e87b7eff623,7cf749f0,04,1c,b7,ab,000000000000007b,82f19743dbf7fb11,7cf74af0
123,0d,44,000000000000007b,82f19743dbf7fb11,7cf74af0,07,ce,96,58,000000000000007c,9978cba1edfbfd88,7df84bf0
124,43,13,000000000000007c,9978cba1edfbfd88,7df84bf0,08,ff,69,96,000000000000007d,4cbc65d0f6fdfec4,7df84bf1
125,ba,b8,000000000000007d,4cbc65d0f6fdfec4,7df84bf1,0e,a4,96,32,000000000000007e,265e32e87b7eff62,7df94cf2
126,f1,90,000000000000007e,265e32e87b7eff62,7df94cf2,03,9e,d9,47,000000000000007f,132f19743dbf7fb1,7efa4cf2
127,28,69,000000000000007f,132f19743dbf7fb1,7efa4cf2,0f,27,b1,96,0000000000000080,d1978cba1edfbfd8,7ffb4df3
128,a0,8b,0000000000000080,d1978cba1edfbfd8,7ffb4df3,02,20,6e,4e,0000000000000081,68cbc65d0f6fdfec,7ffc4df3
129,e9,8b,0000000000000081,68cbc65d0f6fdfec,7ffc4df3,04,c8,df,17,0000000000000082,3465e32e87b7eff6,7ffc4ef3
130,32,62,0000000000000082,3465e32e87b7eff6,7ffc4ef3,0c,94,f4,60,0000000000000083,1a32f19743dbf7fb,7ffc4ff4
131,7b,0a,0000000000000083,1a32f19743dbf7fb,7ffc4ff4,08,2b,4d,66,0000000000000084,d51978cba1edfbfd,7ffc4ff5
132,85,61,0000000000000084,d51978cba1edfbfd,7ffc4ff5,05,08,ae,a6,0000000000000085,b28cbc65d0f6fdfe,80fc50f5
133,cc,5f,0000000000000085,b28cbc65d0f6fdfe,80fc50f5,0d,3c,23,1f,0000000000000086,59465e32e87b7eff,81fc51f6
