HELUT encrypted-netlist bench · SING
  netlist: Generated/Netlists/Examples/toy_isa_netlist.json  module=toy_isa
  poly N=1024  LUTs=11  DFFs=4  sequential  2N=2048
  stimuli=4 (max --vectors 4)  cpu-only=false  metal-netlist-only=false
  paths filter: blind-rotate-metal public-ms boolean
  paths: public-ms@boolean + public-ms@crypto + secret@crypto (+ Metal)
  DynamicRotateCost mux=2099200 binary=11275 speedup≈186.2×

  starting blind-rotate-metal public-ms boolean
BR tile=11/16 bits=640..<704
BR tile=12/16 bits=704..<768
BR tile=13/16 bits=768..<832
BR tile=14/16 bits=832..<896
BR tile=15/16 bits=896..<960
BR tile=16/16 bits=960..<1024
ENCRYPTED EQUIV (blind-rotate-metal public-ms boolean)
  rows            4
  wall            11.4177 s  (2854.42 ms/row)
  classical bits  175.7  (≥128? yes)
  ingest ε log2   -inf  (target -64)
  noisy BK bound  0  (exactNoiselessConstruction; decodable true)
  result          PASS

════════ SING METRICS SUMMARY ════════
path                                             ms/row       bits    εlog2   BK value  cert
blind-rotate-metal public-ms boolean              2854.42      175.7 -inf            0  yes
calibration:
| Label | n | σ | Ref bits | HELUT est | Δ | Source |
|---|---:|---:|---:|---:|---:|---|
| demo-N8 | 8 | 2^12 | 4 | 4.0 | +0.0 | HELUT demo (not production) |
| weak-n256 | 256 | 2^17 | 45 | 40.4 | -4.6 | TFHE-style ballpark (weak) |
| mid-n512 | 512 | 2^16 | 95 | 95.5 | +0.5 | TFHE-style ballpark |
| classic-n630 | 630 | 2^15 | 128 | 129.0 | +1.0 | ≈ Chillotti boolean 128-bit regime |
| n768-s16 | 768 | 2^16 | 140 | 135.6 | -4.4 | TFHE-style ballpark |
