  [25/2513·25] ANANFUNFUUUFLOTTXNULEINSZWONULBEIROTNULS@18 edges=40 letters=22 loops=19 central=U dead at the board                       449s  34.2M/s ETA 252.4 min
  [26/2513·26] ANANFUNFUUUFLOTTXNULEINSZWONULBEIROTNULS@22 edges=40 letters=22 loops=19 central=U dead at the board                       466s  34.3M/s ETA 251.3 min
  [27/2513·27] NANFUNFUUUFLOTTXNULEINSZWONULBEIROTNULSI@16 edges=40 letters=22 loops=19 central=U dead at the board                       482s  34.4M/s ETA 250.3 min
  [28/2513·28] NANFUNFUUUFLOTTXNULEINSZWONULBEIROTNULSI@19 edges=40 letters=22 loops=19 central=U dead at the board                       497s  34.6M/s ETA 248.4 min
  [29/2513·29] NANFUNFUUUFLOTTXNULEINSZWONULBEIROTNULSI@23 edges=40 letters=22 loops=19 central=N dead at the board                       515s  34.6M/s ETA 248.3 min
  [30/2513·30] ANFUNFUUUFLOTTXNULEINSZWONULBEIROTNULSIB@17 edges=40 letters=22 loops=19 central=U dead at the board                       531s  34.7M/s ETA 247.3 min
  [31/2513·31] ANFUNFUUUFLOTTXNULEINSZWONULBEIROTNULSIB@20 edges=40 letters=22 loops=19 central=U dead at the board                       544s  35.0M/s ETA 245.0 min
  [32/2513·32] NFUNFUUUFLOTTXNULEINSZWONULBEIROTNULSIBE@6 edges=40 letters=22 loops=19 central=U dead at the board                       564s  34.9M/s ETA 245.5 min
  [33/2513·33] NFUNFUUUFLOTTXNULEINSZWONULBEIROTNULSIBE@25 edges=40 letters=22 loops=19 central=N dead at the board                       581s  34.9M/s ETA 244.9 min
  [34/2513·34] NFUNFUUUFLOTTXNULEINSZWONULBEIROTNULSIBE@29 edges=40 letters=22 loops=19 central=N dead at the board                       602s  34.7M/s ETA 246.3 min
  [35/2513·35] FUNFUUUFLOTTXNULEINSZWONULBEIROTNULSIBEN@5 edges=40 letters=22 loops=19 central=U dead at the board                       621s  34.6M/s ETA 246.2 min
  [36/2513·36] FUNFUUUFLOTTXNULEINSZWONULBEIROTNULSIBEN@7 edges=40 letters=22 loops=19 central=U dead at the board                       640s  34.6M/s ETA 246.5 min
  [37/2513·37] FUNFUUUFLOTTXNULEINSZWONULBEIROTNULSIBEN@26 edges=40 letters=22 loops=19 central=N dead at the board                       657s  34.6M/s ETA 245.9 min
  [38/2513·38] FUNFUUUFLOTTXNULEINSZWONULBEIROTNULSIBEN@30 edges=40 letters=22 loops=19 central=N dead at the board                       678s  34.4M/s ETA 246.9 min
  [39/2513·39] UNFUUUFLOTTXNULEINSZWONULBEIROTNULSIBENG@5 edges=40 letters=22 loops=19 central=U dead at the board                       693s  34.6M/s ETA 245.3 min
  [40/2513·40] UNFUUUFLOTTXNULEINSZWONULBEIROTNULSIBENG@6 edges=40 letters=22 loops=19 central=U dead at the board                       711s  34.6M/s ETA 245.3 min
  [41/2513·41] UNFUUUFLOTTXNULEINSZWONULBEIROTNULSIBENG@8 edges=40 letters=22 loops=19 central=U dead at the board                       734s  34.3M/s ETA 246.9 min
  [42/2513·42] UNFUUUFLOTTXNULEINSZWONULBEIROTNULSIBENG@27 edges=40 letters=22 loops=19 central=N dead at the board                       755s  34.2M/s ETA 247.6 min
  [43/2513·43] NFUUUFLOTTXNULEINSZWONULBEIROTNULSIBENGE@5 edges=40 letters=22 loops=19 central=U dead at the board                       776s  34.0M/s ETA 248.2 min
  [44/2513·44] NFUUUFLOTTXNULEINSZWONULBEIROTNULSIBENGE@6 edges=40 letters=22 loops=19 central=U dead at the board                       798s  33.9M/s ETA 249.2 min
  [45/2513·45] NFUUUFLOTTXNULEINSZWONULBEIROTNULSIBENGE@7 edges=40 letters=22 loops=19 central=U dead at the board                       820s  33.7M/s ETA 249.8 min
  [46/2513·46] NFUUUFLOTTXNULEINSZWONULBEIROTNULSIBENGE@9 edges=40 letters=22 loops=19 central=U dead at the board                       842s  33.5M/s ETA 250.9 min
  [47/2513·47] NFUUUFLOTTXNULEINSZWONULBEIROTNULSIBENGE@24 edges=40 letters=22 loops=19 central=T dead at the board                       859s  33.6M/s ETA 250.0 min
  [48/2513·48] NFUUUFLOTTXNULEINSZWONULBEIROTNULSIBENGE@28 edges=40 letters=22 loops=19 central=N dead at the board                       878s  33.6M/s ETA 250.0 min
  [49/2513·49] FUUUFLOTTXNULEINSZWONULBEIROTNULSIBENGEA@10 edges=40 letters=22 loops=19 central=U dead at the board                       901s  33.4M/s ETA 251.0 min
  [50/2513·50] FUUUFLOTTXNULEINSZWONULBEIROTNULSIBENGEA@22 edges=40 letters=22 loops=19 central=T dead at the board                       924s  33.2M/s ETA 252.0 min
  [51/2513·51] UUUFLOTTXNULEINSZWONULBEIROTNULSIBENGEAN@11 edges=40 letters=22 loops=19 central=U dead at the board                       948s  33.0M/s ETA 253.1 min
  [52/2513·52] UUUFLOTTXNULEINSZWONULBEIROTNULSIBENGEAN@23 edges=40 letters=22 loops=19 central=T dead at the board                       969s  33.0M/s ETA 253.5 min
  [53/2513·53] UUFLOTTXNULEINSZWONULBEIROTNULSIBENGEANK@10 edges=40 letters=22 loops=19 central=E dead at the board                       987s  33.0M/s ETA 253.1 min
  [54/2513·54] UUFLOTTXNULEINSZWONULBEIROTNULSIBENGEANK@12 edges=40 letters=22 loops=19 central=L dead at the board                      1010s  32.9M/s ETA 253.6 min
  [55/2513·55] UFLOTTXNULEINSZWONULBEIROTNULSIBENGEANKE@10 edges=40 letters=22 loops=19 central=E dead at the board                      1031s  32.8M/s ETA 253.9 min
  [56/2513·56] UFLOTTXNULEINSZWONULBEIROTNULSIBENGEANKE@11 edges=40 letters=22 loops=19 central=E dead at the board                      1055s  32.6M/s ETA 255.0 min
  [57/2513·57] UFLOTTXNULEINSZWONULBEIROTNULSIBENGEANKE@13 edges=40 letters=22 loops=19 central=L dead at the board                      1080s  32.4M/s ETA 256.2 min
  [58/2513·58] FLOTTXNULEINSZWONULBEIROTNULSIBENGEANKER@10 edges=40 letters=22 loops=19 central=E dead at the board                      1104s  32.3M/s ETA 256.8 min
  [59/2513·59] FLOTTXNULEINSZWONULBEIROTNULSIBENGEANKER@12 edges=40 letters=22 loops=19 central=R dead at the board                      1130s  32.1M/s ETA 258.1 min
  [60/2513·60] FLOTTXNULEINSZWONULBEIROTNULSIBENGEANKER@14 edges=40 letters=22 loops=19 central=R dead at the board                      1150s  32.1M/s ETA 258.0 min
  [61/2513·61] LOTTXNULEINSZWONULBEIROTNULSIBENGEANKERT@11 edges=40 letters=22 loops=19 central=R dead at the board                      1171s  32.0M/s ETA 258.3 min
  [62/2513·62] LOTTXNULEINSZWONULBEIROTNULSIBENGEANKERT@13 edges=40 letters=22 loops=19 central=R dead at the board                      1194s  31.9M/s ETA 258.6 min
  [63/2513·63] LOTTXNULEINSZWONULBEIROTNULSIBENGEANKERT@15 edges=40 letters=22 loops=19 central=R dead at the board                      1214s  31.9M/s ETA 258.5 min
  [64/2513·64] OTTXNULEINSZWONULBEIROTNULSIBENGEANKERTX@12 edges=40 letters=22 loops=19 central=R dead at the board                      1236s  31.8M/s ETA 258.7 min
  [65/2513·65] OTTXNULEINSZWONULBEIROTNULSIBENGEANKERTX@14 edges=40 letters=22 loops=19 central=R dead at the board                      1258s  31.7M/s ETA 259.0 min
  [66/2513·66] TTXNULEINSZWONULBEIROTNULSIBENGEANKERTXZ@13 edges=40 letters=22 loops=19 central=R dead at the board                      1280s  31.7M/s ETA 259.2 min
  [67/2513·67] TTXNULEINSZWONULBEIROTNULSIBENGEANKERTXZ@15 edges=40 letters=22 loops=19 central=R dead at the board                      1302s  31.6M/s ETA 259.4 min
  [68/2513·68] TXNULEINSZWONULBEIROTNULSIBENGEANKERTXZU@14 edges=40 letters=22 loops=19 central=R dead at the board                      1324s  31.6M/s ETA 259.5 min
  [69/2513·69] TXNULEINSZWONULBEIROTNULSIBENGEANKERTXZU@16 edges=40 letters=22 loops=19 central=R dead at the board                      1345s  31.5M/s ETA 259.6 min
  [70/2513·70] LAUKKANANFUNFUUUFLOTTXNULEINSZWONULBEIRO@0 edges=40 letters=23 loops=18 central=U dead at the board                      1364s  31.5M/s ETA 259.2 min
  [71/2513·71] LAUKKANANFUNFUUUFLOTTXNULEINSZWONULBEIRO@1 edges=40 letters=23 loops=18 central=U dead at the board                      1380s  31.6M/s ETA 258.1 min
  [72/2513·72] LAUKKANANFUNFUUUFLOTTXNULEINSZWONULBEIRO@26 edges=40 letters=23 loops=18 central=N dead at the board                      1399s  31.6M/s ETA 257.8 min
  [73/2513·73] LAUKKANANFUNFUUUFLOTTXNULEINSZWONULBEIRO@27 edges=40 letters=23 loops=18 central=N dead at the board                      1421s  31.6M/s ETA 257.9 min
  [74/2513·74] LAUKKANANFUNFUUUFLOTTXNULEINSZWONULBEIRO@30 edges=40 letters=23 loops=18 central=N dead at the board                      1438s  31.6M/s ETA 257.2 min
  [75/2513·75] AUKKANANFUNFUUUFLOTTXNULEINSZWONULBEIROT@1 edges=40 letters=23 loops=18 central=U dead at the board                      1458s  31.6M/s ETA 256.9 min
  [76/2513·76] AUKKANANFUNFUUUFLOTTXNULEINSZWONULBEIROT@2 edges=40 letters=23 loops=18 central=U dead at the board                      1473s  31.7M/s ETA 255.8 min
  [77/2513·77] AUKKANANFUNFUUUFLOTTXNULEINSZWONULBEIROT@27 edges=40 letters=23 loops=18 central=N dead at the board                      1492s  31.7M/s ETA 255.4 min
  [78/2513·78] AUKKANANFUNFUUUFLOTTXNULEINSZWONULBEIROT@28 edges=40 letters=23 loops=18 central=N dead at the board                      1513s  31.7M/s ETA 255.4 min
  [79/2513·79] AUKKANANFUNFUUUFLOTTXNULEINSZWONULBEIROT@31 edges=40 letters=23 loops=18 central=N dead at the board                      1530s  31.7M/s ETA 254.7 min
  [80/2513·80] UKKANANFUNFUUUFLOTTXNULEINSZWONULBEIROTN@0 edges=40 letters=23 loops=18 central=U dead at the board                      1551s  31.7M/s ETA 254.6 min
  [81/2513·81] UKKANANFUNFUUUFLOTTXNULEINSZWONULBEIROTN@2 edges=40 letters=23 loops=18 central=U dead at the board                      1569s  31.7M/s ETA 254.2 min
  [82/2513·82] UKKANANFUNFUUUFLOTTXNULEINSZWONULBEIROTN@3 edges=40 letters=23 loops=18 central=U dead at the board                      1585s  31.8M/s ETA 253.2 min
  [83/2513·83] UKKANANFUNFUUUFLOTTXNULEINSZWONULBEIROTN@5 edges=40 letters=23 loops=18 central=U dead at the board                      1600s  31.9M/s ETA 252.2 min
  [84/2513·84] UKKANANFUNFUUUFLOTTXNULEINSZWONULBEIROTN@24 edges=40 letters=23 loops=18 central=N dead at the board                      1616s  31.9M/s ETA 251.4 min
  [85/2513·85] UKKANANFUNFUUUFLOTTXNULEINSZWONULBEIROTN@28 edges=40 letters=23 loops=18 central=N dead at the board                      1634s  31.9M/s ETA 250.9 min
  [86/2513·86] UKKANANFUNFUUUFLOTTXNULEINSZWONULBEIROTN@29 edges=40 letters=23 loops=18 central=N dead at the board                      1655s  31.9M/s ETA 250.9 min
  [87/2513·87] UKKANANFUNFUUUFLOTTXNULEINSZWONULBEIROTN@32 edges=40 letters=23 loops=18 central=N dead at the board                      1672s  31.9M/s ETA 250.2 min
  [88/2513·88] KKANANFUNFUUUFLOTTXNULEINSZWONULBEIROTNU@1 edges=40 letters=23 loops=18 central=U dead at the board                      1692s  31.9M/s ETA 250.0 min
  [89/2513·89] KKANANFUNFUUUFLOTTXNULEINSZWONULBEIROTNU@3 edges=40 letters=23 loops=18 central=U dead at the board                      1710s  32.0M/s ETA 249.4 min
  [90/2513·90] KKANANFUNFUUUFLOTTXNULEINSZWONULBEIROTNU@4 edges=40 letters=23 loops=18 central=U dead at the board                      1724s  32.1M/s ETA 248.4 min
  [91/2513·91] KKANANFUNFUUUFLOTTXNULEINSZWONULBEIROTNU@6 edges=40 letters=23 loops=18 central=U dead at the board                      1741s  32.1M/s ETA 247.8 min
  [92/2513·92] KKANANFUNFUUUFLOTTXNULEINSZWONULBEIROTNU@24 edges=40 letters=23 loops=18 central=N dead at the board                      1761s  32.1M/s ETA 247.6 min
  [93/2513·93] KKANANFUNFUUUFLOTTXNULEINSZWONULBEIROTNU@25 edges=40 letters=23 loops=18 central=N dead at the board                      1777s  32.1M/s ETA 246.9 min
  [94/2513·94] KKANANFUNFUUUFLOTTXNULEINSZWONULBEIROTNU@29 edges=40 letters=23 loops=18 central=N dead at the board                      1796s  32.2M/s ETA 246.4 min
  [95/2513·95] KKANANFUNFUUUFLOTTXNULEINSZWONULBEIROTNU@30 edges=40 letters=23 loops=18 central=N dead at the board                      1816s  32.1M/s ETA 246.2 min
  [96/2513·96] KANANFUNFUUUFLOTTXNULEINSZWONULBEIROTNUL@0 edges=40 letters=23 loops=18 central=U dead at the board                      1834s  32.1M/s ETA 245.8 min
  [97/2513·97] KANANFUNFUUUFLOTTXNULEINSZWONULBEIROTNUL@2 edges=40 letters=23 loops=18 central=U dead at the board                      1854s  32.1M/s ETA 245.5 min
  [98/2513·98] KANANFUNFUUUFLOTTXNULEINSZWONULBEIROTNUL@4 edges=40 letters=23 loops=18 central=U dead at the board                      1871s  32.2M/s ETA 245.0 min
  [99/2513·99] KANANFUNFUUUFLOTTXNULEINSZWONULBEIROTNUL@5 edges=40 letters=23 loops=18 central=U dead at the board                      1884s  32.3M/s ETA 244.0 min
  [100/2513·100] KANANFUNFUUUFLOTTXNULEINSZWONULBEIROTNUL@7 edges=40 letters=23 loops=18 central=U dead at the board                      1902s  32.3M/s ETA 243.4 min
  [101/2513·101] KANANFUNFUUUFLOTTXNULEINSZWONULBEIROTNUL@25 edges=40 letters=23 loops=18 central=N dead at the board                      1921s  32.3M/s ETA 243.1 min
  [102/2513·102] KANANFUNFUUUFLOTTXNULEINSZWONULBEIROTNUL@26 edges=40 letters=23 loops=18 central=N dead at the board                      1937s  32.3M/s ETA 242.4 min
  [103/2513·103] KANANFUNFUUUFLOTTXNULEINSZWONULBEIROTNUL@30 edges=40 letters=23 loops=18 central=N dead at the board                      1955s  32.4M/s ETA 242.0 min
  [104/2513·104] KANANFUNFUUUFLOTTXNULEINSZWONULBEIROTNUL@31 edges=40 letters=23 loops=18 central=N dead at the board                      1975s  32.3M/s ETA 241.8 min
  [105/2513·105] ANANFUNFUUUFLOTTXNULEINSZWONULBEIROTNULS@0 edges=40 letters=23 loops=18 central=U dead at the board                      1990s  32.4M/s ETA 241.1 min
  [106/2513·106] ANANFUNFUUUFLOTTXNULEINSZWONULBEIROTNULS@1 edges=40 letters=23 loops=18 central=U dead at the board                      2009s  32.4M/s ETA 240.7 min
  [107/2513·107] ANANFUNFUUUFLOTTXNULEINSZWONULBEIROTNULS@3 edges=40 letters=23 loops=18 central=U dead at the board                      2028s  32.4M/s ETA 240.4 min
  [108/2513·108] ANANFUNFUUUFLOTTXNULEINSZWONULBEIROTNULS@5 edges=40 letters=23 loops=18 central=U dead at the board                      2045s  32.4M/s ETA 239.9 min
  [109/2513·109] ANANFUNFUUUFLOTTXNULEINSZWONULBEIROTNULS@6 edges=40 letters=23 loops=18 central=U dead at the board                      2059s  32.5M/s ETA 239.0 min
  [110/2513·110] ANANFUNFUUUFLOTTXNULEINSZWONULBEIROTNULS@8 edges=40 letters=23 loops=18 central=U dead at the board                      2076s  32.5M/s ETA 238.4 min
  [111/2513·111] ANANFUNFUUUFLOTTXNULEINSZWONULBEIROTNULS@26 edges=40 letters=23 loops=18 central=N dead at the board                      2094s  32.6M/s ETA 238.0 min
  [112/2513·112] ANANFUNFUUUFLOTTXNULEINSZWONULBEIROTNULS@31 edges=40 letters=23 loops=18 central=N dead at the board                      2110s  32.6M/s ETA 237.4 min
  [113/2513·113] ANANFUNFUUUFLOTTXNULEINSZWONULBEIROTNULS@32 edges=40 letters=23 loops=18 central=N dead at the board                      2129s  32.6M/s ETA 237.0 min
  [114/2513·114] NANFUNFUUUFLOTTXNULEINSZWONULBEIROTNULSI@0 edges=40 letters=23 loops=18 central=U dead at the board                      2148s  32.6M/s ETA 236.7 min
  [115/2513·115] NANFUNFUUUFLOTTXNULEINSZWONULBEIROTNULSI@1 edges=40 letters=23 loops=18 central=U dead at the board                      2162s  32.7M/s ETA 235.9 min
  [116/2513·116] NANFUNFUUUFLOTTXNULEINSZWONULBEIROTNULSI@2 edges=40 letters=23 loops=18 central=U dead at the board                      2180s  32.7M/s ETA 235.5 min
  [117/2513·117] NANFUNFUUUFLOTTXNULEINSZWONULBEIROTNULSI@4 edges=40 letters=23 loops=18 central=U dead at the board                      2198s  32.7M/s ETA 235.2 min
  [118/2513·118] NANFUNFUUUFLOTTXNULEINSZWONULBEIROTNULSI@6 edges=40 letters=23 loops=18 central=U dead at the board                      2215s  32.7M/s ETA 234.6 min
