# TensorLUT M4 cold-start
# netlist=enigma_m4_netlist.json
# LUTs=925 DFFs=49 inits=59200
# crib_pt=TEST crib_ct=YCPY grundstellung=AAA (L=0 M=0 R=0)
# pop=12 explore=250 squeeze=500 lambdaMax=10.0 seed=2119188496
# phase gen bestCrypto bestFitness lambda nonBinary
explore 121 -2.306752 -2.306752 0.0000 33496
explore 122 -2.306752 -2.306752 0.0000 33496
explore 123 -2.306752 -2.306752 0.0000 33496
explore 124 -2.194305 -2.194305 0.0000 33256
explore 125 -2.194305 -2.194305 0.0000 33256
explore 126 -2.194305 -2.194305 0.0000 33256
explore 127 -2.194305 -2.194305 0.0000 33256
explore 128 -2.194305 -2.194305 0.0000 33256
explore 129 -2.193822 -2.193822 0.0000 33149
explore 130 -2.174772 -2.174772 0.0000 33048
explore 131 -2.174772 -2.174772 0.0000 33048
explore 132 -2.163477 -2.163477 0.0000 32890
explore 133 -2.091861 -2.091861 0.0000 32929
explore 134 -2.091861 -2.091861 0.0000 32929
explore 135 -1.999498 -1.999498 0.0000 32798
explore 136 -1.999498 -1.999498 0.0000 32798
explore 137 -1.999498 -1.999498 0.0000 32798
explore 138 -1.900976 -1.900976 0.0000 32458
explore 139 -1.900976 -1.900976 0.0000 32458
explore 140 -1.784168 -1.784168 0.0000 32311
explore 141 -1.784168 -1.784168 0.0000 32311
explore 142 -1.784168 -1.784168 0.0000 32311
explore 143 -1.784168 -1.784168 0.0000 32311
explore 144 -1.784168 -1.784168 0.0000 32311
explore 145 -1.784168 -1.784168 0.0000 32311
explore 146 -1.784168 -1.784168 0.0000 32311
explore 147 -1.784168 -1.784168 0.0000 32311
explore 148 -1.784168 -1.784168 0.0000 32311
explore 149 -1.761813 -1.761813 0.0000 32166
explore 150 -1.761813 -1.761813 0.0000 32166
explore 151 -1.761813 -1.761813 0.0000 32166
explore 152 -1.761813 -1.761813 0.0000 32166
explore 153 -1.761813 -1.761813 0.0000 32166
explore 154 -1.761813 -1.761813 0.0000 32166
explore 155 -1.761813 -1.761813 0.0000 32166
explore 156 -1.761813 -1.761813 0.0000 32166
explore 157 -1.761813 -1.761813 0.0000 32166
explore 158 -1.761813 -1.761813 0.0000 32166
explore 159 -1.761813 -1.761813 0.0000 32166
explore 160 -1.761813 -1.761813 0.0000 32166
explore 161 -1.761813 -1.761813 0.0000 32166
explore 162 -1.750870 -1.750870 0.0000 32103
explore 163 -1.747798 -1.747798 0.0000 32222
explore 164 -1.747798 -1.747798 0.0000 32222
explore 165 -1.747798 -1.747798 0.0000 32222
explore 166 -1.747798 -1.747798 0.0000 32222
explore 167 -1.747798 -1.747798 0.0000 32222
explore 168 -1.747798 -1.747798 0.0000 32222
explore 169 -1.678181 -1.678181 0.0000 31981
explore 170 -1.678181 -1.678181 0.0000 31981
explore 171 -1.678181 -1.678181 0.0000 31981
explore 172 -1.678181 -1.678181 0.0000 31981
explore 173 -1.678181 -1.678181 0.0000 31981
explore 174 -1.678181 -1.678181 0.0000 31981
explore 175 -1.678181 -1.678181 0.0000 31981
explore 176 -1.678181 -1.678181 0.0000 31981
explore 177 -1.678181 -1.678181 0.0000 31981
explore 178 -1.678181 -1.678181 0.0000 31981
explore 179 -1.676079 -1.676079 0.0000 31803
explore 180 -1.661293 -1.661293 0.0000 31708
explore 181 -1.661293 -1.661293 0.0000 31708
explore 182 -1.661293 -1.661293 0.0000 31708
explore 183 -1.661293 -1.661293 0.0000 31708
explore 184 -1.661293 -1.661293 0.0000 31708
explore 185 -1.661293 -1.661293 0.0000 31708
explore 186 -1.661293 -1.661293 0.0000 31708
explore 187 -1.661293 -1.661293 0.0000 31708
explore 188 -1.661293 -1.661293 0.0000 31708
explore 189 -1.596806 -1.596806 0.0000 31609
explore 190 -1.596806 -1.596806 0.0000 31609
explore 191 -1.596806 -1.596806 0.0000 31609
explore 192 -1.596806 -1.596806 0.0000 31609
explore 193 -1.596806 -1.596806 0.0000 31609
explore 194 -1.596806 -1.596806 0.0000 31609
explore 195 -1.596806 -1.596806 0.0000 31609
explore 196 -1.596806 -1.596806 0.0000 31609
explore 197 -1.596806 -1.596806 0.0000 31609
explore 198 -1.596806 -1.596806 0.0000 31609
explore 199 -1.595235 -1.595235 0.0000 31422
explore 200 -1.537986 -1.537986 0.0000 31381
explore 201 -1.537986 -1.537986 0.0000 31381
explore 202 -1.537986 -1.537986 0.0000 31381
explore 203 -1.537986 -1.537986 0.0000 31381
explore 204 -1.490031 -1.490031 0.0000 31343
explore 205 -1.490031 -1.490031 0.0000 31343
explore 206 -1.490031 -1.490031 0.0000 31343
explore 207 -1.490031 -1.490031 0.0000 31343
explore 208 -1.490031 -1.490031 0.0000 31343
explore 209 -1.466474 -1.466474 0.0000 31241
explore 210 -1.466474 -1.466474 0.0000 31241
explore 211 -1.466474 -1.466474 0.0000 31241
explore 212 -1.466474 -1.466474 0.0000 31241
explore 213 -1.466474 -1.466474 0.0000 31241
explore 214 -1.466474 -1.466474 0.0000 31241
explore 215 -1.466474 -1.466474 0.0000 31241
explore 216 -1.466474 -1.466474 0.0000 31241
explore 217 -1.466474 -1.466474 0.0000 31241
explore 218 -1.460005 -1.460005 0.0000 31199
explore 219 -1.443360 -1.443360 0.0000 31161
explore 220 -1.443360 -1.443360 0.0000 31161
explore 221 -1.443360 -1.443360 0.0000 31161
explore 222 -1.443360 -1.443360 0.0000 31161
explore 223 -1.443360 -1.443360 0.0000 31161
explore 224 -1.443360 -1.443360 0.0000 31161
explore 225 -1.443360 -1.443360 0.0000 31161
explore 226 -1.443360 -1.443360 0.0000 31161
explore 227 -1.443360 -1.443360 0.0000 31161
explore 228 -1.443360 -1.443360 0.0000 31161
explore 229 -1.443360 -1.443360 0.0000 31161
explore 230 -1.443360 -1.443360 0.0000 31161
explore 231 -1.443360 -1.443360 0.0000 31161
explore 232 -1.443360 -1.443360 0.0000 31161
explore 233 -1.443360 -1.443360 0.0000 31161
explore 234 -1.443360 -1.443360 0.0000 31161
explore 235 -1.443360 -1.443360 0.0000 31161
explore 236 -1.443360 -1.443360 0.0000 31161
explore 237 -1.443360 -1.443360 0.0000 31161
explore 238 -1.443360 -1.443360 0.0000 31161
explore 239 -1.419922 -1.419922 0.0000 31007
explore 240 -1.329624 -1.329624 0.0000 31020
explore 241 -1.329624 -1.329624 0.0000 31020
explore 242 -1.329624 -1.329624 0.0000 31020
explore 243 -1.329624 -1.329624 0.0000 31020
explore 244 -1.329624 -1.329624 0.0000 31020
explore 245 -1.217828 -1.217828 0.0000 30857
explore 246 -1.217828 -1.217828 0.0000 30857
explore 247 -1.217828 -1.217828 0.0000 30857
explore 248 -1.217828 -1.217828 0.0000 30857
explore 249 -1.217828 -1.217828 0.0000 30857
# explore_done crypto=-1.217828 fitness=-1.217828 nonBinary=30857 elapsed=112.5s
squeeze 250 -1.220227 -1.220227 0.0000 30688
squeeze 251 -1.083808 -1.083808 0.0000 30540
squeeze 252 -1.041319 -1.041319 0.0000 30313
squeeze 253 -1.020636 -1.020636 0.0000 30360
squeeze 254 -1.020636 -1.020636 0.0000 30360
squeeze 255 -1.008016 -1.008016 0.0000 30204
squeeze 256 -1.008016 -1.008016 0.0000 30204
squeeze 257 -0.997772 -0.997772 0.0000 30207
squeeze 258 -0.842096 -0.842096 0.0000 30162
squeeze 259 -0.826885 -0.826885 0.0000 30010
squeeze 260 -0.826885 -0.826885 0.0000 30010
squeeze 261 -0.826885 -0.826885 0.0000 30010
squeeze 262 -0.810304 -0.810304 0.0000 29858
squeeze 263 -0.810304 -0.810304 0.0000 29858
squeeze 264 -0.810304 -0.810304 0.0000 29858
squeeze 265 -0.744918 -0.744918 0.0000 29584
squeeze 266 -0.744918 -0.744918 0.0000 29584
squeeze 267 -0.744918 -0.744918 0.0000 29584
squeeze 268 -0.744918 -0.744918 0.0000 29584
squeeze 269 -0.744918 -0.744918 0.0000 29584
squeeze 270 -0.744918 -0.744918 0.0000 29584
squeeze 271 -0.744918 -0.744918 0.0000 29584
squeeze 272 -0.744918 -0.744918 0.0000 29584
squeeze 273 -0.614598 -0.614598 0.0000 29319
squeeze 274 -0.614598 -0.614598 0.0000 29319
squeeze 275 -0.614598 -0.614598 0.0000 29319
squeeze 276 -0.513724 -0.513724 0.0000 28923
squeeze 277 -0.513724 -0.513724 0.0000 28923
squeeze 278 -0.513724 -0.513724 0.0000 28923
squeeze 279 -0.513724 -0.513724 0.0000 28923
squeeze 280 -0.508306 -0.508306 0.0000 28615
squeeze 281 -0.508306 -0.508306 0.0000 28615
squeeze 282 -0.508306 -0.508306 0.0000 28615
squeeze 283 -0.508306 -0.508306 0.0000 28615
squeeze 284 -0.508306 -0.508306 0.0000 28615
squeeze 285 -0.508306 -0.508306 0.0000 28615
squeeze 286 -0.508306 -0.508306 0.0000 28615
squeeze 287 -0.508306 -0.508306 0.0000 28615
squeeze 288 -0.474906 -0.474906 0.0000 28158
squeeze 289 -0.474906 -0.474906 0.0000 28158
squeeze 290 -0.474906 -0.474906 0.0000 28158
squeeze 291 -0.474906 -0.474906 0.0000 28158
squeeze 292 -0.474906 -0.474906 0.0000 28158
squeeze 293 -0.440350 -0.440350 0.0000 28174
squeeze 294 -0.440350 -0.440350 0.0000 28174
squeeze 295 -0.440350 -0.440350 0.0000 28174
squeeze 296 -0.440350 -0.440350 0.0000 28174
squeeze 297 -0.440350 -0.440350 0.0000 28174
squeeze 298 -0.440350 -0.440350 0.0000 28174
squeeze 299 -0.440350 -0.440350 0.0000 28174
squeeze 300 -0.440350 -0.440350 0.0000 28174
squeeze 301 -0.441586 -0.708407 0.0000 27965
squeeze 302 -0.441586 -1.508872 0.0002 27965
squeeze 303 -0.441586 -2.842976 0.0004 27965
squeeze 304 -0.383599 -4.618257 0.0008 27778
squeeze 305 -0.383599 -7.000246 0.0012 27778
squeeze 306 -0.393634 -9.869627 0.0018 27652
squeeze 307 -0.393634 -13.291507 0.0024 27652
squeeze 308 -0.393634 -17.239828 0.0032 27652
squeeze 309 -0.387488 -21.625580 0.0040 27562
squeeze 310 -0.387488 -26.607349 0.0049 27562
squeeze 311 -0.504710 -32.071171 0.0060 27448
squeeze 312 -0.457518 -37.983879 0.0071 27413
squeeze 313 -0.496848 -44.347408 0.0083 27331
squeeze 314 -0.766823 -51.299358 0.0097 27179
squeeze 315 -0.632893 -58.399410 0.0111 27018
squeeze 316 -0.594939 -65.970726 0.0126 26883
squeeze 317 -0.594939 -74.398094 0.0143 26883
squeeze 318 -1.042244 -82.847130 0.0160 26627
squeeze 319 -0.937797 -91.979439 0.0178 26603
squeeze 320 -0.937797 -101.815002 0.0198 26603
squeeze 321 -1.112107 -111.697060 0.0218 26464
squeeze 322 -0.966507 -121.791199 0.0239 26372
squeeze 323 -1.393946 -132.817474 0.0261 26274
squeeze 324 -1.513823 -144.048141 0.0284 26156
squeeze 325 -1.368697 -155.710144 0.0309 26129
squeeze 326 -1.880185 -167.577728 0.0334 25935
squeeze 327 -1.774285 -179.866455 0.0360 25878
squeeze 328 -1.537169 -192.994308 0.0387 25850
squeeze 329 -2.144723 -206.083740 0.0415 25708
squeeze 330 -2.064484 -219.481430 0.0444 25622
squeeze 331 -1.503317 -233.454208 0.0475 25577
squeeze 332 -2.275534 -247.791290 0.0506 25490
squeeze 333 -2.433003 -262.413635 0.0538 25350
squeeze 334 -2.972086 -277.130402 0.0571 25200
squeeze 335 -2.475405 -292.429413 0.0605 25206
squeeze 336 -3.358496 -308.711365 0.0640 25084
squeeze 337 -3.385948 -324.485168 0.0676 24990
squeeze 338 -3.698237 -340.491089 0.0713 24892
squeeze 339 -3.766783 -356.939789 0.0751 24793
squeeze 340 -3.681808 -373.027863 0.0790 24661
squeeze 341 -3.590817 -389.990082 0.0830 24610
squeeze 342 -3.781842 -406.978210 0.0871 24487
squeeze 343 -3.925212 -424.929565 0.0913 24423
squeeze 344 -3.658035 -442.344086 0.0956 24330
squeeze 345 -3.636243 -461.358307 0.1000 24274
squeeze 346 -3.868954 -480.581146 0.1045 24168
squeeze 347 -4.426508 -499.835541 0.1091 24084
squeeze 348 -4.395299 -518.359619 0.1138 23984
squeeze 349 -3.635106 -538.119873 0.1186 23943
squeeze 350 -3.603107 -557.834534 0.1235 23848
squeeze 351 -3.817860 -576.418701 0.1284 23723
squeeze 352 -3.530847 -596.529846 0.1335 23639
squeeze 353 -3.839332 -618.826172 0.1387 23644
squeeze 354 -3.900070 -640.287720 0.1440 23559
squeeze 355 -3.771942 -661.328552 0.1494 23485
squeeze 356 -3.725665 -683.152588 0.1549 23419
squeeze 357 -3.784379 -704.077942 0.1604 23312
squeeze 358 -4.226152 -727.076233 0.1661 23271
squeeze 359 -4.113386 -750.114990 0.1719 23223
squeeze 360 -3.692852 -773.470032 0.1778 23180
squeeze 361 -3.813240 -795.910461 0.1838 23130
squeeze 362 -3.630793 -818.118530 0.1898 23027
squeeze 363 -3.654586 -841.708557 0.1960 22965
squeeze 364 -3.677869 -865.323669 0.2023 22884
squeeze 365 -3.632694 -889.325745 0.2086 22822
squeeze 366 -4.006874 -912.705139 0.2151 22778
squeeze 367 -3.646044 -936.909302 0.2217 22668
squeeze 368 -3.938431 -962.371643 0.2283 22662
squeeze 369 -3.971321 -986.662781 0.2351 22557
squeeze 370 -3.582567 -1012.438354 0.2420 22496
squeeze 371 -3.880525 -1039.788208 0.2489 22458
squeeze 372 -4.188114 -1065.574707 0.2560 22426
squeeze 373 -3.643551 -1089.460571 0.2632 22315
squeeze 374 -4.172971 -1115.662598 0.2704 22260
squeeze 375 -6.018562 -1140.961548 0.2778 22176
squeeze 376 -5.053965 -1167.606201 0.2852 22126
squeeze 377 -5.647021 -1193.959106 0.2928 22071
squeeze 378 -5.773812 -1221.137207 0.3004 22007
squeeze 379 -4.207359 -1241.925049 0.3082 21813
squeeze 380 -3.999784 -1270.072754 0.3160 21772
squeeze 381 -4.258671 -1298.759399 0.3240 21746
squeeze 382 -3.871785 -1328.139282 0.3320 21712
squeeze 383 -3.938889 -1355.781982 0.3402 21627
squeeze 384 -3.967031 -1385.318848 0.3484 21639
squeeze 385 -3.728412 -1412.860229 0.3568 21589
squeeze 386 -4.097192 -1441.363770 0.3652 21510
squeeze 387 -4.053077 -1472.477783 0.3738 21479
squeeze 388 -3.851748 -1502.380859 0.3824 21454
squeeze 389 -4.570017 -1532.039795 0.3912 21407
squeeze 390 -3.723628 -1562.696777 0.4000 21354
squeeze 391 -3.688652 -1593.847534 0.4089 21340
squeeze 392 -3.799727 -1625.157104 0.4180 21289
squeeze 393 -3.302375 -1656.651001 0.4271 21248
squeeze 394 -3.384011 -1688.035034 0.4363 21203
squeeze 395 -3.980713 -1720.120239 0.4457 21187
squeeze 396 -3.321894 -1752.751099 0.4551 21175
squeeze 397 -3.649813 -1781.995605 0.4646 21089
squeeze 398 -3.730457 -1816.036255 0.4743 21074
squeeze 399 -3.740968 -1847.946167 0.4840 21022
squeeze 400 -3.526857 -1883.253296 0.4938 21011
squeeze 401 -3.800014 -1913.656616 0.5038 20969
squeeze 402 -5.693840 -1949.469727 0.5138 20913
squeeze 403 -5.785957 -1983.892212 0.5239 20878
squeeze 404 -4.698810 -2016.360718 0.5341 20834
squeeze 405 -4.405912 -2046.624878 0.5444 20799
squeeze 406 -4.315574 -2082.705078 0.5549 20773
squeeze 407 -4.194055 -2117.539307 0.5654 20728
squeeze 408 -4.198210 -2149.929199 0.5760 20654
squeeze 409 -4.201211 -2183.872803 0.5867 20599
squeeze 410 -4.221857 -2217.006348 0.5975 20554
squeeze 411 -4.553994 -2252.757812 0.6084 20523
squeeze 412 -5.776678 -2289.524902 0.6195 20525
squeeze 413 -4.670570 -2319.439453 0.6306 20466
squeeze 414 -5.270721 -2357.000000 0.6418 20446
squeeze 415 -4.919660 -2389.424072 0.6531 20397
squeeze 416 -4.130524 -2428.780029 0.6645 20386
squeeze 417 -4.280237 -2463.194336 0.6760 20331
squeeze 418 -4.327913 -2497.720459 0.6876 20281
squeeze 419 -4.781492 -2536.239746 0.6993 20264
squeeze 420 -4.477247 -2568.328857 0.7111 20183
squeeze 421 -4.491344 -2606.595215 0.7230 20158
squeeze 422 -4.598996 -2643.520752 0.7350 20137
squeeze 423 -4.626184 -2675.008301 0.7471 20051
squeeze 424 -5.143462 -2710.489502 0.7593 19992
squeeze 425 -5.221499 -2748.671875 0.7716 19943
squeeze 426 -4.461267 -2788.271240 0.7840 19939
squeeze 427 -4.699368 -2824.701416 0.7965 19904
squeeze 428 -6.015388 -2866.077881 0.8091 19898
squeeze 429 -4.857730 -2897.665771 0.8218 19866
squeeze 430 -4.187390 -2934.559326 0.8346 19812
squeeze 431 -4.065822 -2970.813232 0.8475 19763
squeeze 432 -4.150906 -3012.390381 0.8604 19738
squeeze 433 -4.494937 -3053.582764 0.8735 19722
squeeze 434 -4.198883 -3095.160645 0.8867 19718
squeeze 435 -4.617122 -3134.887939 0.9000 19666
