# TensorLUT M4 cold-start
# netlist=enigma_m4_netlist.json
# LUTs=925 DFFs=49 inits=59200
# crib_pt=TEST crib_ct=YCPY grundstellung=AAA (L=0 M=0 R=0)
# pop=12 explore=250 squeeze=500 lambdaMax=10.0 seed=2119188496
# phase gen bestCrypto bestFitness lambda nonBinary
squeeze 506 -7.844124 -6431.391113 2.0956 18329
squeeze 507 -7.290931 -6481.680664 2.1160 18306
squeeze 508 -7.290931 -6544.385742 2.1365 18306
squeeze 509 -5.540303 -6593.058105 2.1571 18285
squeeze 510 -7.917008 -6638.953613 2.1778 18273
squeeze 511 -7.986070 -6697.958984 2.1986 18286
squeeze 512 -7.088822 -6748.314453 2.2195 18231
squeeze 513 -8.373121 -6805.854004 2.2404 18240
squeeze 514 -7.936438 -6847.267090 2.2615 18167
squeeze 515 -8.142591 -6900.740234 2.2827 18143
squeeze 516 -8.185402 -6960.312012 2.3040 18158
squeeze 517 -8.126461 -7007.142578 2.3254 18109
squeeze 518 -8.012671 -7054.037598 2.3469 18077
squeeze 519 -5.946800 -7103.903320 2.3684 18065
squeeze 520 -8.530870 -7168.821777 2.3901 18052
squeeze 521 -8.561249 -7214.848145 2.4119 18072
squeeze 522 -8.561249 -7280.211426 2.4338 18072
squeeze 523 -4.885953 -7339.513672 2.4558 18065
squeeze 524 -8.590090 -7402.363770 2.4778 18062
squeeze 525 -6.840156 -7452.203125 2.5000 18024
squeeze 526 -7.134459 -7511.342773 2.5223 18038
squeeze 527 -6.083307 -7560.328125 2.5446 18017
squeeze 528 -8.739306 -7598.572266 2.5671 17935
squeeze 529 -6.952377 -7656.950195 2.5897 17960
squeeze 530 -7.358590 -7714.032227 2.6123 17922
squeeze 531 -7.129471 -7765.324707 2.6351 17915
squeeze 532 -7.074592 -7826.724121 2.6580 17909
squeeze 533 -7.411640 -7880.354492 2.6809 17899
squeeze 534 -7.629401 -7935.101074 2.7040 17890
squeeze 535 -7.648710 -7994.130859 2.7272 17875
squeeze 536 -7.647190 -8049.476074 2.7504 17854
squeeze 537 -9.846846 -8107.881836 2.7738 17825
squeeze 538 -9.359189 -8156.988770 2.7972 17828
squeeze 539 -9.359189 -8225.600586 2.8208 17828
squeeze 540 -10.853403 -8270.006836 2.8444 17788
squeeze 541 -9.536993 -8330.119141 2.8682 17809
squeeze 542 -9.408946 -8382.823242 2.8920 17794
squeeze 543 -9.303801 -8442.642578 2.9160 17762
squeeze 544 -10.102738 -8501.125977 2.9400 17742
squeeze 545 -10.087744 -8561.461914 2.9642 17742
squeeze 546 -9.923305 -8606.648438 2.9884 17693
squeeze 547 -10.352003 -8674.189453 3.0128 17711
squeeze 548 -5.892617 -8739.993164 3.0372 17729
squeeze 549 -10.459682 -8802.698242 3.0618 17701
squeeze 550 -6.958936 -8850.721680 3.0864 17665
squeeze 551 -9.217842 -8904.166992 3.1112 17655
squeeze 552 -9.720764 -8961.763672 3.1360 17629
squeeze 553 -9.607956 -9013.085938 3.1609 17623
squeeze 554 -9.892191 -9082.731445 3.1860 17640
squeeze 555 -10.406307 -9144.687500 3.2111 17631
squeeze 556 -9.991752 -9200.638672 3.2363 17614
squeeze 557 -10.509773 -9259.186523 3.2617 17621
squeeze 558 -8.875201 -9319.916016 3.2871 17580
squeeze 559 -8.468772 -9365.630859 3.3126 17555
squeeze 560 -8.081928 -9424.150391 3.3383 17532
squeeze 561 -7.347638 -9487.412109 3.3640 17539
squeeze 562 -7.841133 -9557.116211 3.3898 17519
squeeze 563 -9.433533 -9604.071289 3.4158 17533
squeeze 564 -9.519917 -9661.681641 3.4418 17522
squeeze 565 -9.101967 -9720.760742 3.4679 17515
squeeze 566 -8.633686 -9752.968750 3.4941 17465
squeeze 567 -9.185562 -9809.986328 3.5204 17415
squeeze 568 -8.951515 -9863.185547 3.5469 17447
squeeze 569 -9.293345 -9926.320312 3.5734 17390
squeeze 570 -8.702593 -9989.916992 3.6000 17434
squeeze 571 -9.322010 -10037.989258 3.6267 17375
squeeze 572 -9.317309 -10097.950195 3.6535 17371
squeeze 573 -9.317309 -10172.268555 3.6804 17371
squeeze 574 -7.689773 -10223.566406 3.7075 17315
squeeze 575 -5.506864 -10284.306641 3.7346 17312
squeeze 576 -9.021772 -10322.156250 3.7618 17259
squeeze 577 -9.021772 -10397.023438 3.7891 17259
squeeze 578 -8.478383 -10450.609375 3.8165 17249
squeeze 579 -8.155178 -10505.649414 3.8440 17232
squeeze 580 -9.345620 -10571.021484 3.8716 17191
squeeze 581 -8.473016 -10621.781250 3.8993 17202
squeeze 582 -9.668943 -10687.352539 3.9271 17170
squeeze 583 -9.620905 -10739.110352 3.9550 17149
squeeze 584 -9.625893 -10792.843750 3.9830 17113
squeeze 585 -9.625893 -10868.915039 4.0111 17113
squeeze 586 -8.379154 -10933.217773 4.0393 17114
squeeze 587 -8.252501 -10996.246094 4.0676 17132
squeeze 588 -8.364717 -11049.445312 4.0960 17115
squeeze 589 -8.225555 -11106.955078 4.1245 17096
squeeze 590 -9.384505 -11166.701172 4.1531 17069
squeeze 591 -8.379337 -11230.288086 4.1818 17077
squeeze 592 -7.931120 -11287.957031 4.2106 17079
squeeze 593 -4.255095 -11349.578125 4.2395 17034
squeeze 594 -9.061056 -11417.726562 4.2684 17090
squeeze 595 -7.791807 -11462.021484 4.2975 17024
squeeze 596 -7.740802 -11538.275391 4.3267 17044
squeeze 597 -8.321784 -11607.009766 4.3560 17079
squeeze 598 -8.053820 -11663.349609 4.3854 17049
squeeze 599 -8.950674 -11720.044922 4.4149 16962
squeeze 600 -8.366632 -11789.156250 4.4444 16971
squeeze 601 -7.387389 -11850.098633 4.4741 17024
squeeze 602 -6.989460 -11891.846680 4.5039 16973
squeeze 603 -8.926956 -11947.093750 4.5338 16960
squeeze 604 -7.577516 -12004.334961 4.5638 16952
squeeze 605 -7.577516 -12083.391602 4.5938 16952
squeeze 606 -9.038218 -12138.133789 4.6240 16911
squeeze 607 -9.383207 -12193.583008 4.6543 16885
squeeze 608 -7.731400 -12261.629883 4.6846 16876
squeeze 609 -8.448910 -12321.427734 4.7151 16941
squeeze 610 -7.110075 -12383.749023 4.7457 16853
squeeze 611 -7.114767 -12447.752930 4.7763 16846
squeeze 612 -7.659335 -12499.150391 4.8071 16857
squeeze 613 -8.625503 -12553.623047 4.8380 16881
squeeze 614 -6.972676 -12593.229492 4.8689 16795
squeeze 615 -3.387988 -12646.380859 4.9000 16773
squeeze 616 -3.435766 -12719.416016 4.9312 16793
squeeze 617 -3.560089 -12771.823242 4.9624 16732
squeeze 618 -4.293347 -12830.335938 4.9938 16712
squeeze 619 -4.248404 -12881.250000 5.0252 16695
squeeze 620 -4.584085 -12934.863281 5.0568 16682
squeeze 621 -3.652590 -12999.193359 5.0884 16669
squeeze 622 -4.690422 -13055.461914 5.1202 16660
squeeze 623 -5.254689 -13106.265625 5.1520 16683
squeeze 624 -3.666687 -13176.480469 5.1840 16615
squeeze 625 -6.428681 -13226.268555 5.2160 16643
squeeze 626 -3.890958 -13279.025391 5.2482 16588
squeeze 627 -4.750890 -13337.198242 5.2804 16573
squeeze 628 -4.327826 -13400.070312 5.3128 16566
squeeze 629 -3.508298 -13461.009766 5.3452 16581
squeeze 630 -4.334495 -13515.219727 5.3778 16549
squeeze 631 -4.336980 -13589.968750 5.4104 16559
squeeze 632 -6.454165 -13646.601562 5.4432 16551
squeeze 633 -5.414833 -13697.734375 5.4760 16490
squeeze 634 -4.706884 -13752.001953 5.5089 16523
squeeze 635 -6.138893 -13813.155273 5.5420 16500
squeeze 636 -4.732738 -13838.405273 5.5751 16458
squeeze 637 -4.709980 -13898.915039 5.6083 16433
squeeze 638 -4.480567 -13954.683594 5.6417 16453
squeeze 639 -4.376454 -14009.935547 5.6751 16442
squeeze 640 -3.923583 -14059.976562 5.7086 16427
squeeze 641 -4.693152 -14123.319336 5.7423 16417
squeeze 642 -6.839848 -14170.293945 5.7760 16389
squeeze 643 -4.344639 -14228.839844 5.8098 16339
squeeze 644 -4.308078 -14271.587891 5.8438 16319
squeeze 645 -4.824513 -14346.749023 5.8778 16302
squeeze 646 -4.148529 -14407.067383 5.9119 16350
squeeze 647 -4.185001 -14443.097656 5.9461 16318
squeeze 648 -4.637237 -14502.724609 5.9804 16260
squeeze 649 -4.204276 -14538.727539 6.0149 16224
squeeze 650 -4.560382 -14578.923828 6.0494 16208
squeeze 651 -4.967669 -14642.981445 6.0840 16200
squeeze 652 -5.550885 -14701.068359 6.1187 16188
squeeze 653 -5.392401 -14750.405273 6.1535 16161
squeeze 654 -5.300762 -14797.372070 6.1884 16166
squeeze 655 -6.019233 -14835.498047 6.2235 16138
squeeze 656 -6.019233 -14919.160156 6.2586 16138
squeeze 657 -4.680264 -14970.492188 6.2938 16119
squeeze 658 -4.335760 -15021.812500 6.3291 16102
squeeze 659 -5.006288 -15068.555664 6.3645 16076
squeeze 660 -4.818338 -15101.543945 6.4000 16045
squeeze 661 -4.877300 -15164.596680 6.4356 16039
squeeze 662 -5.039499 -15230.930664 6.4713 16033
squeeze 663 -4.691644 -15294.998047 6.5071 16019
squeeze 664 -4.921723 -15336.800781 6.5430 15975
squeeze 665 -5.315026 -15410.511719 6.5790 16007
squeeze 666 -3.847608 -15466.683594 6.6151 15946
squeeze 667 -4.504770 -15504.841797 6.6513 15943
squeeze 668 -3.443990 -15584.836914 6.6876 15937
squeeze 669 -4.164530 -15622.407227 6.7240 15905
squeeze 670 -6.117872 -15685.911133 6.7605 15937
squeeze 671 -6.900276 -15723.040039 6.7971 15910
squeeze 672 -4.511541 -15783.323242 6.8338 15831
squeeze 673 -5.021840 -15848.218750 6.8706 15849
squeeze 674 -5.330733 -15889.007812 6.9075 15842
squeeze 675 -5.186760 -15922.997070 6.9444 15817
squeeze 676 -5.041339 -15965.174805 6.9815 15799
squeeze 677 -5.122275 -15999.385742 7.0187 15773
squeeze 678 -5.122275 -16084.348633 7.0560 15773
squeeze 679 -6.697536 -16118.368164 7.0934 15749
squeeze 680 -5.747701 -16159.807617 7.1309 15748
squeeze 681 -6.420401 -16147.262695 7.1684 15661
squeeze 682 -6.677595 -16224.268555 7.2061 15660
squeeze 683 -6.124798 -16283.779297 7.2439 15655
squeeze 684 -7.515132 -16342.125977 7.2818 15642
squeeze 685 -6.814346 -16395.437500 7.3198 15620
squeeze 686 -7.041468 -16441.453125 7.3578 15611
squeeze 687 -7.645332 -16481.361328 7.3960 15618
squeeze 688 -5.794803 -16548.134766 7.4343 15603
squeeze 689 -9.689800 -16612.958984 7.4726 15546
squeeze 690 -7.336957 -16621.539062 7.5111 15533
squeeze 691 -7.365425 -16696.259766 7.5497 15557
squeeze 692 -7.136581 -16718.154297 7.5883 15480
squeeze 693 -7.296834 -16760.117188 7.6271 15439
squeeze 694 -9.066536 -16811.839844 7.6660 15409
squeeze 695 -6.987278 -16862.695312 7.7049 15410
squeeze 696 -7.766137 -16879.650391 7.7440 15376
squeeze 697 -7.887726 -16924.308594 7.7832 15359
squeeze 698 -4.228214 -16978.585938 7.8224 15362
squeeze 699 -6.544205 -17023.292969 7.8618 15313
squeeze 700 -4.917233 -17040.148438 7.9012 15309
squeeze 701 -4.988078 -17096.048828 7.9408 15304
squeeze 702 -5.797774 -17141.232422 7.9804 15264
squeeze 703 -4.513955 -17202.578125 8.0202 15302
squeeze 704 -4.614631 -17246.591797 8.0600 15285
squeeze 705 -5.647243 -17294.001953 8.1000 15249
squeeze 706 -7.928435 -17240.503906 8.1400 15158
squeeze 707 -8.119696 -17305.058594 8.1802 15147
squeeze 708 -5.962178 -17356.453125 8.2204 15152
squeeze 709 -6.081418 -17382.900391 8.2608 15108
squeeze 710 -5.916171 -17445.966797 8.3012 15109
squeeze 711 -6.222702 -17468.136719 8.3418 15087
squeeze 712 -6.544387 -17525.802734 8.3824 15076
squeeze 713 -5.079452 -17581.390625 8.4232 15082
squeeze 714 -6.073809 -17572.947266 8.4640 15000
squeeze 715 -6.126423 -17622.750000 8.5049 14998
squeeze 716 -7.024131 -17671.328125 8.5460 14979
squeeze 717 -8.800538 -17707.142578 8.5871 14986
squeeze 718 -8.783457 -17736.644531 8.6283 14962
squeeze 719 -7.796701 -17765.388672 8.6697 14897
squeeze 720 -5.462617 -17805.007812 8.7111 14874
squeeze 721 -10.088001 -17834.722656 8.7526 14840
squeeze 722 -9.843612 -17849.773438 8.7943 14798
squeeze 723 -7.255984 -17873.693359 8.8360 14803
squeeze 724 -9.658216 -17936.152344 8.8778 14765
squeeze 725 -8.079553 -17950.337891 8.9198 14723
squeeze 726 -7.582366 -17996.232422 8.9618 14728
squeeze 727 -6.343290 -18019.183594 9.0039 14693
squeeze 728 -5.696537 -18021.931641 9.0461 14649
squeeze 729 -5.130572 -18076.902344 9.0884 14643
squeeze 730 -6.152857 -18112.968750 9.1309 14615
squeeze 731 -5.773029 -18141.714844 9.1734 14586
squeeze 732 -6.217154 -18197.984375 9.2160 14577
squeeze 733 -6.123744 -18215.587891 9.2587 14520
squeeze 734 -5.929081 -18227.384766 9.3015 14501
squeeze 735 -7.177958 -18239.009766 9.3444 14417
squeeze 736 -6.494348 -18278.789062 9.3875 14424
squeeze 737 -8.116100 -18285.496094 9.4306 14353
squeeze 738 -7.386209 -18294.648438 9.4738 14305
squeeze 739 -6.730399 -18345.238281 9.5171 14302
squeeze 740 -7.317544 -18401.357422 9.5605 14281
squeeze 741 -4.899259 -18439.648438 9.6040 14289
squeeze 742 -7.119492 -18473.476562 9.6476 14212
squeeze 743 -5.761382 -18498.705078 9.6913 14206
squeeze 744 -5.657483 -18529.314453 9.7351 14200
squeeze 745 -6.987868 -18555.640625 9.7790 14179
squeeze 746 -6.920104 -18557.296875 9.8230 14135
squeeze 747 -6.268206 -18560.232422 9.8671 14094
squeeze 748 -7.359504 -18581.681641 9.9113 14006
squeeze 749 -8.044610 -18613.406250 9.9556 14010
# squeeze_done crypto=-8.044610 fitness=-18613.406250 nonBinary=14010 elapsed=335.8s
# wrote enigma_m4_tensorlut_coldstart.v (160550 bytes)
