  [50/400·50] PHTTRAREMUENDEWDEPASSIERTXMA@25 edges=28 letters=22 loops=10 central=R dead at the board                       810s  37.9M/s ETA  94.5 min
  [51/400·51] PHTTRATEMUENDEWDEPASSIERTXMA@25 edges=28 letters=22 loops=10 central=R dead at the board                       826s  37.9M/s ETA  94.2 min
  [52/400·52] PHTTRAWEMUENDEWDEPASSIERTXMA@25 edges=28 letters=22 loops=10 central=R dead at the board                       841s  38.0M/s ETA  93.9 min
  [53/400·53] CHTRAVEMUENDEVDEVVVUUUDREINX@33 edges=28 letters=21 loops=10 central=V dead at the board                       856s  38.0M/s ETA  93.4 min
  [54/400·54] CHTRAVEMUENDEVDEVVWUUUDREINX@33 edges=28 letters=21 loops=10 central=V dead at the board                       870s  38.1M/s ETA  92.9 min
  [55/400·55] PHTTRAVEAUENDEWDEPASSIERTXMA@41 edges=28 letters=21 loops=10 central=T dead at the board                       893s  37.8M/s ETA  93.4 min
  [56/400·56] PHTTRAVEMEENDEWDEPASSIERTXMA@41 edges=28 letters=20 loops=10 central=E dead at the board                       912s  37.7M/s ETA  93.3 min
  [57/400·57] PHTTRAVEMNENDEWDEPASSIERTXMA@41 edges=28 letters=20 loops=10 central=T dead at the board                       932s  37.5M/s ETA  93.5 min
  [58/400·58] CHTREVEMUENDEVDEVVVUUUDREIN@41 edges=27 letters=19 loops=10 central=V dead at the board                       944s  37.7M/s ETA  92.8 min
  [59/400·59] CHTRIVEMUENDEVDEVVVUUUDREIN@41 edges=27 letters=19 loops=10 central=V dead at the board                       959s  37.8M/s ETA  92.4 min
  [60/400·60] CHTRTVEMUENDEVDEVVVUUUDREIN@41 edges=27 letters=19 loops=10 central=V dead at the board                       974s  37.8M/s ETA  92.0 min
  [61/400·61] CHTRTVEMUENDEVDEVVWUUUDREIN@41 edges=27 letters=19 loops=10 central=V dead at the board                       990s  37.9M/s ETA  91.7 min
  [62/400·62] ITUUUUVIIRSIBENNULZWOYVIRS@1 edges=26 letters=21 loops=10 central=U dead at the board                      1003s  38.0M/s ETA  91.2 min
  [63/400·63] YITUUUVIIRSIBENNULZWOYVIRS@1 edges=26 letters=21 loops=10 central=I dead at the board                      1016s  38.1M/s ETA  90.6 min
  [64/400·64] YITUUUVIIRSIBENNULZWOYVIRZ@1 edges=26 letters=21 loops=10 central=I dead at the board                      1028s  38.2M/s ETA  90.0 min
  [65/400·65] KOMXADMXUUUBOOTTEYFXDXUUUX@25 edges=26 letters=19 loops=10 central=U dead at the board                      1046s  38.1M/s ETA  89.9 min
  [66/400·66] KOMXADMXUUUBOOTTEYFXDXUUUY@25 edges=26 letters=19 loops=10 central=U dead at the board                      1065s  38.1M/s ETA  89.8 min
  [67/400·67] KOMXADMXUUUUBOOTEYFXDXUUUX@25 edges=26 letters=19 loops=10 central=U dead at the board                      1081s  38.1M/s ETA  89.6 min
  [68/400·68] KOMXADMXUUUUBOOTEYFXDXUUUY@25 edges=26 letters=19 loops=10 central=U dead at the board                      1099s  38.0M/s ETA  89.4 min
  [69/400·69] KOMMADMXUUUUBOOTEYFXDXUUUY@25 edges=26 letters=19 loops=10 central=U dead at the board                      1116s  38.0M/s ETA  89.2 min
  [70/400·70] YUUUVIIRSIBENNULEINSYNACHR@26 edges=26 letters=18 loops=10 central=R dead at the board                      1130s  38.0M/s ETA  88.8 min
  [71/400·71] YUUUVIRSIBENNNULEINSYNACHR@26 edges=26 letters=18 loops=10 central=R dead at the board                      1149s  38.0M/s ETA  88.7 min
